subnatio,schoolid,stidstd,cnt,country,oecd,st01q01,st02q01,st03q02,st03q03,st04q01,st05q01,st06q01,st07q01,st07q02,st07q03,st08q01,st09q01,st10q01,st10q02,st10q03,st11q01,st11q02,st11q03,st11q04,st12q01,st13q01,st13q02,st13q03,st13q04,st13q05,st13q06,st13q07,st13q08,st13q09,st13q10,st13q11,st13q12,st13q13,st13q14,st13q15,st13q16,st13q17,st14q01,st14q02,st14q03,st14q04,st15q01,st16q01,st16q02,st16q03,st16q04,st16q05,st17q01,st17q02,st17q03,st17q04,st17q05,st17q06,st17q07,st17q08,st18q01,st18q02,st18q03,st18q04,st18q05,st18q06,st18q07,st18q08,st18q09,st18q10,st19q01,st19q02,st19q03,st19q04,st19q05,st19q06,st20qa1,st20qa2,st20qa3,st20qa4,st20qa5,st20qa6,st20qb1,st20qb2,st20qb3,st20qb4,st20qb5,st20qb6,st20qc1,st20qc2,st20qc3,st20qc4,st20qc5,st20qc6,st20qd1,st20qd2,st20qd3,st20qd4,st20qd5,st20qd6,st20qe1,st20qe2,st20qe3,st20qe4,st20qe5,st20qe6,st20qf1,st20qf2,st20qf3,st20qf4,st20qf5,st20qf6,st20qg1,st20qg2,st20qg3,st20qg4,st20qg5,st20qg6,st20qh1,st20qh2,st20qh3,st20qh4,st20qh5,st20qh6,st21q01,st21q02,st21q03,st21q04,st21q05,st21q06,st21q07,st21q08,st22q01,st22q02,st22q03,st22q04,st22q05,st23qa1,st23qa2,st23qa3,st23qa4,st23qa5,st23qa6,st23qb1,st23qb2,st23qb3,st23qb4,st23qb5,st23qb6,st23qc1,st23qc2,st23qc3,st23qc4,st23qc5,st23qc6,st23qd1,st23qd2,st23qd3,st23qd4,st23qd5,st23qd6,st23qe1,st23qe2,st23qe3,st23qe4,st23qe5,st23qe6,st23qf1,st23qf2,st23qf3,st23qf4,st23qf5,st23qf6,st24q01,st24q02,st24q03,st24q04,st24q05,st24q06,st25q01,st25q02,st25q03,st25q04,st25q05,st25q06,st26q01,st26q02,st26q03,st26q04,st26q05,st26q06,st26q07,st27q01,st27q02,st27q03,st27q04,st28q01,st28q02,st28q03,st28q04,st29q01,st29q02,st29q03,st29q04,st30q01,st31q01,st31q02,st31q03,st31q04,st31q05,st31q06,st31q07,st31q08,st31q09,st31q10,st31q11,st31q12,st32q01,st32q02,st32q03,st32q04,st32q05,st32q06,st33q11,st33q12,st33q21,st33q22,st33q31,st33q32,st33q41,st33q42,st33q51,st33q52,st33q61,st33q62,st33q71,st33q72,st33q81,st33q82,st34q01,st34q02,st34q03,st34q04,st34q05,st34q06,st34q07,st34q08,st34q09,st34q10,st34q11,st34q12,st34q13,st34q14,st34q15,st34q16,st34q17,st35q01,st35q02,st35q03,st35q04,st35q05,st36q01,st36q02,st36q03,st37q01,st37q02,st37q03,st37q04,st37q05,st37q06,ic01q01,ic02q01,ic03q01,ic03q02,ic03q03,ic04q01,ic04q02,ic04q03,ic04q04,ic04q05,ic04q06,ic04q07,ic04q08,ic04q09,ic04q10,ic04q11,ic05q01,ic05q02,ic05q03,ic05q04,ic05q05,ic05q06,ic05q07,ic05q08,ic05q09,ic05q10,ic05q11,ic05q12,ic05q13,ic05q14,ic05q15,ic05q16,age,iscedl,iscedd,iscedo,progn,bmmj,bfmj,bsmj,hisei,msecateg,fsecateg,hsecateg,src_m,src_f,src_e,src_s,misced,fisced,hisced,pared,cobn_m,cobn_f,cobn_s,immig,langn,carinfo,carprep,cultposs,envaware,envopt,envperc,genscie,hedres,homepos,instscie,intscie,joyscie,perscie,respdev,scapply,schands,scieact,scieeff,sciefut,scintact,scinvest,scscie,wealth,highconf,intconf,intuse,prguse,escs,pv1math,pv2math,pv3math,pv4math,pv5math,pv1read,pv2read,pv3read,pv4read,pv5read,pv1scie,pv2scie,pv3scie,pv4scie,pv5scie,pv1intr,pv2intr,pv3intr,pv4intr,pv5intr,pv1supp,pv2supp,pv3supp,pv4supp,pv5supp,pv1eps,pv2eps,pv3eps,pv4eps,pv5eps,pv1isi,pv2isi,pv3isi,pv4isi,pv5isi,pv1use,pv2use,pv3use,pv4use,pv5use,w_fstuwt,w_fstr1,w_fstr2,w_fstr3,w_fstr4,w_fstr5,w_fstr6,w_fstr7,w_fstr8,w_fstr9,w_fstr10,w_fstr11,w_fstr12,w_fstr13,w_fstr14,w_fstr15,w_fstr16,w_fstr17,w_fstr18,w_fstr19,w_fstr20,w_fstr21,w_fstr22,w_fstr23,w_fstr24,w_fstr25,w_fstr26,w_fstr27,w_fstr28,w_fstr29,w_fstr30,w_fstr31,w_fstr32,w_fstr33,w_fstr34,w_fstr35,w_fstr36,w_fstr37,w_fstr38,w_fstr39,w_fstr40,w_fstr41,w_fstr42,w_fstr43,w_fstr44,w_fstr45,w_fstr46,w_fstr47,w_fstr48,w_fstr49,w_fstr50,w_fstr51,w_fstr52,w_fstr53,w_fstr54,w_fstr55,w_fstr56,w_fstr57,w_fstr58,w_fstr59,w_fstr60,w_fstr61,w_fstr62,w_fstr63,w_fstr64,w_fstr65,w_fstr66,w_fstr67,w_fstr68,w_fstr69,w_fstr70,w_fstr71,w_fstr72,w_fstr73,w_fstr74,w_fstr75,w_fstr76,w_fstr77,w_fstr78,w_fstr79,w_fstr80,cntfac,subfac,wvarstrr,randunit,stratum,testlang,clcuse3a,clcuse3b,deffort,s421q02,s456q01,s456q02,ver_stu,sc01q01,sc01q02,sc02q01,sc03q01,sc03q02,sc03q03,sc03q04,sc04q01,sc04q02,sc04q03,sc04q04,sc04q05,sc04q06,sc04q07,sc04q08,sc04q09,sc04q10,sc04q11,sc04q12,sc04q13,sc04q14,sc05q01,sc05q02,sc06q01,sc07q01,sc08q01,sc08q02,sc09q11,sc09q12,sc09q21,sc09q22,sc09q31,sc09q32,sc10q01,sc11qa1,sc11qa2,sc11qa3,sc11qa4,sc11qb1,sc11qb2,sc11qb3,sc11qb4,sc11qc1,sc11qc2,sc11qc3,sc11qc4,sc11qd1,sc11qd2,sc11qd3,sc11qd4,sc11qe1,sc11qe2,sc11qe3,sc11qe4,sc11qf1,sc11qf2,sc11qf3,sc11qf4,sc11qg1,sc11qg2,sc11qg3,sc11qg4,sc11qh1,sc11qh2,sc11qh3,sc11qh4,sc11qi1,sc11qi2,sc11qi3,sc11qi4,sc11qj1,sc11qj2,sc11qj3,sc11qj4,sc11qk1,sc11qk2,sc11qk3,sc11qk4,sc11ql1,sc11ql2,sc11ql3,sc11ql4,sc12qa1,sc12qa2,sc12qa3,sc12qa4,sc12qb1,sc12qb2,sc12qb3,sc12qb4,sc12qc1,sc12qc2,sc12qc3,sc12qc4,sc12qd1,sc12qd2,sc12qd3,sc12qd4,sc12qe1,sc12qe2,sc12qe3,sc12qe4,sc12qf1,sc12qf2,sc12qf3,sc12qf4,sc13q01,sc13q02,sc13q03,sc14q01,sc14q02,sc14q03,sc14q04,sc14q05,sc14q06,sc14q07,sc14q08,sc14q09,sc14q10,sc14q11,sc14q12,sc14q13,sc15q01,sc15q02,sc15q03,sc16q01,sc17q01,sc17q02,sc17q03,sc17q04,sc17q05,sc18q01,sc19q01,sc19q02,sc19q03,sc19q04,sc19q05,sc19q06,sc20q01,sc20q02,sc20q03,sc20q04,sc20q05,sc21q01,sc21q02,sc21q03,sc21q04,sc22q01,sc22q02,sc22q03,sc22q04,sc22q05,sc23q01,sc23q02,sc23q03,sc24q01,sc25q01,sc26q01,sc27q01,sc28q01,sc29q01,abgroup,clsize,compweb,iratcomp,pcgirls,propcert,propqual,ratcomp,schltype,schsize,selsch,stratio,respres,respcurr,envlearn,sciprom,scmatedu,tcshort,w_fschwt,ver_sch
76400,02023,00010,THA,764,0,9,1,06,90,1,6112,4,2,7,2,6112,4,2,7,2,1,1,1,99,2,2,1,2,2,2,2,1,1,1,1,1,1,2,1,764002,764001,764002,2,3,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,2,2,2,2,3,3,3,3,2300,3,1,2,3,1,2,3,1,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,4,4,2,4,3,2,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,2,5,4,5,5,4,4,4,4,5,4,4,5,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16.17,2,1,1,7640001,23,23,69,23,3,3,3,0,0,0,0,1,1,1,6,07640,07640,07640,1,616,0.7862,1.9563,1.0749,-0.9622,2.8518,1.3916,-0.358,-2.06,-1.5191,0.3719,0.6732,0.5391,0.3867,0.6481,0.7518,1.3627,1.0777,0.3184,-0.0492,-0.2007,1.8336,0.652,-1.8408,-0.457,-1.4208,-1.7297,-0.2938,-2.2108,470.081,435.8078,357.1351,385.9558,402.3134,383.2273,418.9777,448.3725,384.0217,387.994,414.2423,391.863,371.3486,353.6316,333.1171,772.8858,703.1791,648.6649,595.0443,627.2167,588.5174,535.6778,505.812,472.5001,475.9462,329.3872,316.3326,313.5352,346.1718,363.8888,373.2135,330.3197,324.7249,370.4161,389.998,375.0784,354.564,346.1718,376.0109,388.1331,107.1885,53.5943,53.5943,160.7828,53.5943,160.7828,53.5943,53.5943,53.5943,53.5943,160.7828,160.7828,53.5943,160.7828,160.7828,53.5943,53.5943,160.7828,160.7828,160.7828,160.7828,53.5943,53.5943,160.7828,53.5943,160.7828,53.5943,53.5943,53.5943,53.5943,160.7828,160.7828,53.5943,160.7828,160.7828,53.5943,53.5943,160.7828,160.7828,160.7828,160.7828,53.5943,53.5943,160.7828,53.5943,160.7828,53.5943,53.5943,53.5943,53.5943,160.7828,160.7828,53.5943,160.7828,160.7828,53.5943,53.5943,160.7828,160.7828,160.7828,160.7828,53.5943,53.5943,160.7828,53.5943,160.7828,53.5943,53.5943,53.5943,53.5943,160.7828,160.7828,53.5943,160.7828,160.7828,53.5943,53.5943,160.7828,160.7828,160.7828,160.7828,0.0096130459,0.0096130459,52,2,76402,THA,10,10,0,7,77,7,P2006-04DEC07,400,452,1,85,0,15,0,2,2,2,2,2,2,1,1,1,1,1,1,7,7,0,0,7,2,2,2,33,2,31,2,33,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,1,1,2,2,2,1,2,2,1,1,2,2,1,1,50,35,30,1,1,2,3,4,4,2,2,2,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,3,3,3,2,3,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,3,2,1,2,3,2,3,2,2,43,0.6,0.041,0.531,0.941,1,0.059,3,852,2,25.059,-0.258,1.269,1.3899,0.7597,0.0867,0.4649,35.7295,P2006-04DEC07
76400,04005,00032,THA,764,0,10,3,12,90,1,6111,3,2,7,2,6111,4,2,7,2,1,1,1,99,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,764002,764001,764002,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,3,4,3,2,2,2,2331,3,1,2,3,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,1,3,2,3,9,1,2,1,3,3,2,2,3,2,2,2,2,3,2,2,2,2,1,1,5,2,4,4,8,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,15.67,3,3,3,7640003,23,23,66,23,3,3,3,0,0,0,0,2,1,2,9,07640,07640,07640,1,616,-0.6338,0.05,1.0749,-0.9622,2.8518,1.3916,0.4867,-1.1126,-1.0121,-0.4167,0.6732,0.5391,0.3867,-0.4156,1.0606,0.0352,0.8912,0.3184,0.8285,-0.4987,0.8559,0.3107,-1.3491,-1.5291,-2.4433,-0.9832,-0.2938,-1.6074,434.172,465.3295,400.6777,448.1929,404.5724,431.3712,467.1217,425.81,447.2603,430.5768,452.1008,454.8982,425.059,431.5864,383.0977,636.4215,641.7836,637.3152,651.614,673.9559,471.4663,456.5334,424.3702,457.6821,495.5887,389.625,400.8147,380.3003,383.0977,372.8405,439.9786,440.9111,411.0719,410.1395,424.1266,385.8951,424.1266,397.0848,413.8694,396.1524,115.9757,173.9635,57.9878,57.9878,173.9635,57.9878,173.9635,57.9878,173.9635,173.9635,173.9635,173.9635,57.9878,57.9878,173.9635,57.9878,57.9878,173.9635,173.9635,57.9878,57.9878,173.9635,57.9878,57.9878,173.9635,57.9878,173.9635,57.9878,173.9635,173.9635,173.9635,173.9635,57.9878,57.9878,173.9635,57.9878,57.9878,173.9635,173.9635,57.9878,57.9878,57.9878,173.9635,173.9635,57.9878,173.9635,57.9878,173.9635,57.9878,57.9878,57.9878,57.9878,173.9635,173.9635,57.9878,173.9635,173.9635,57.9878,57.9878,173.9635,173.9635,57.9878,173.9635,173.9635,57.9878,173.9635,57.9878,173.9635,57.9878,57.9878,57.9878,57.9878,173.9635,173.9635,57.9878,173.9635,173.9635,57.9878,57.9878,173.9635,173.9635,0.0096130459,0.0096130459,57,1,76404,THA,10,10,0,7,11,2,P2006-04DEC07,330,860,2,34,64,0,2,2,2,2,2,2,2,2,2,2,1,1,1,7,7,996,2,6,3,2,2,50,15,35,5,50,15,1,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,1,2,2,1,1,2,2,1,2,1,2,1,2,2,2,1,1,1,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,1,1,1,1,2,2,2,2,1,2,2,2,1,1,2,2,1,2,2,2,1,1,200,170,200,2,3,2,1,1,1,2,2,1,2,2,2,2,1,2,2,3,1,2,1,1,1,1,3,3,2,2,2,3,2,2,2,2,1,1,1,1,2,2,2,2,2,1,2,3,3,1,3,2,1,3,2,2,38,1,0.143,0.723,0.652,1,0.168,1,1190,3,20.696,2.018,1.269,-1.3031,-1.0674,0.0867,0.7142,15.434,P2006-04DEC07
76400,06008,00021,THA,764,0,9,1,11,90,1,9152,5,2,7,2,9505,5,2,7,2,1,1,1,99,1,1,2,1,2,2,2,1,1,1,1,1,1,2,1,764002,764002,764002,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,9505,3,1,2,3,1,2,3,1,2,5,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,3,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,2,5,2,5,1,5,5,5,5,2,5,3,5,1,1,2,9,1,2,2,2,2,2,2,2,2,2,4,4,15.75,2,1,1,7640001,27,99,99,27,4,9,4,0,9,0,0,0,0,0,3,07640,07640,07640,1,555,1.1445,0.5791,1.0749,0.5263,2.8518,1.3916,-0.358,-1.1126,-1.8959,1.8212,0.6732,0.5391,0.3867,0.083,2.6335,1.0587,1.0777,0.3184,1.0649,0.0808,1.8336,2.2442,-3.199,-0.752,-1.5935,-1.477,0.3816,-2.6577,430.1994,360.095,265.8436,477.7146,366.3265,355.8186,362.9687,365.352,403.4859,364.5576,385.5222,366.8727,337.0335,376.1974,376.1974,583.4266,603.9811,562.872,621.8546,641.5155,496.6225,520.7449,487.433,473.6488,511.5554,375.2649,369.6701,353.818,384.5897,351.0206,362.2103,375.2649,391.117,413.4964,392.0495,347.2907,318.384,337.0335,360.3454,326.7763,3.3163,1.6582,1.6582,4.9745,4.9745,1.6582,4.9745,4.9745,1.6582,1.6582,4.9745,4.9745,4.9745,4.9745,1.6582,4.9745,1.6582,4.9745,1.6582,1.6582,1.6582,4.9745,4.9745,1.6582,1.6582,4.9745,1.6582,1.6582,4.9745,4.9745,1.6582,1.6582,1.6582,1.6582,4.9745,1.6582,4.9745,1.6582,4.9745,4.9745,4.9745,4.9745,4.9745,1.6582,1.6582,4.9745,1.6582,1.6582,4.9745,4.9745,1.6582,1.6582,1.6582,1.6582,4.9745,1.6582,4.9745,1.6582,4.9745,4.9745,4.9745,1.6582,1.6582,4.9745,4.9745,1.6582,4.9745,4.9745,1.6582,1.6582,4.9745,4.9745,4.9745,4.9745,1.6582,4.9745,1.6582,4.9745,1.6582,1.6582,1.6582,0.0096130459,0.0096130459,27,2,76406,THA,10,10,0,7,77,7,P2006-04DEC07,440,445,1,90,0,10,0,1,1,1,1,1,1,1,1,1,2,2,2,7,7,0,996,5,2,3,1,36,0,36,0,36,0,2,2,2,2,1,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,1,2,2,2,1,2,2,2,1,2,1,2,2,1,50,40,20,2,3,2,3,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,4,3,4,4,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,3,3,3,2,2,3,33,0.4,0.045,0.503,1,1,0.056,3,885,2,24.583,-0.804,1.269,1.3899,1.6397,-0.0778,1.1634,3.3163,P2006-04DEC07
