"Variable","Missing_Percentage"
"COUNTRY",0
"CNT",0
"SUBNATIO",0
"SCHOOLID",0
"STIDSTD",0
"ST01Q01",0
"ST02Q02",0
"ST02Q03",0
"ST03Q01",0
"ST04Q01",0
"ST04Q02",0
"ST04Q03",0
"ST04Q04",0
"ST04Q05",0
"ST05Q01",0
"ST06Q01",0
"ST07Q01",0
"ST09Q01",0
"ST11R01",0
"ST12Q01",0
"ST12Q02",0
"ST12Q03",0
"ST13R01",0
"ST14Q01",0
"ST14Q02",0
"ST14Q03",0
"ST15Q01",0
"ST15Q02",0
"ST15Q03",0
"ST15Q04",0
"ST16Q01",0
"ST17Q01",0
"ST17Q02",0
"ST17Q03",0
"ST17Q04",0
"ST17Q05",0
"ST17Q06",0
"ST17Q07",0
"ST17Q08",0
"ST17Q09",0
"ST17Q10",0
"ST17Q11",0
"ST17Q12",0
"ST17Q13",0
"ST17Q14",0
"ST17Q15",0
"ST17Q16",0
"ST19Q01",0
"ST20Q01",0
"ST21Q01",0
"ST22Q01",0
"ST22Q02",0
"ST22Q03",0
"ST23Q01",0
"ST23Q02",0
"ST23Q03",0
"ST23Q04",0
"ST23Q05",0
"ST23Q06",0
"ST24Q01",0
"ST24Q02",0
"ST24Q03",0
"ST24Q04",0
"ST25Q01",0
"ST25Q02",0
"ST25Q03",0
"ST25Q04",0
"ST25Q05",0
"ST25Q06",0
"ST26Q01",0
"ST26Q02",0
"ST26Q03",0
"ST26Q04",0
"ST26Q05",0
"ST27Q01",0
"ST27Q02",0
"ST27Q03",0
"ST27Q04",0
"ST27Q05",0
"ST27Q06",0
"ST28Q01",0
"ST29Q01",0
"ST29Q02",0
"ST29Q03",0
"ST29Q04",0
"ST29Q05",0
"ST29Q06",0
"ST30Q01",0
"ST30Q02",0
"ST30Q03",0
"ST30Q04",0
"ST30Q05",0
"ST30Q06",0
"ST30Q07",0
"ST30Q08",0
"ST31Q01",0
"ST31Q02",0
"ST31Q03",0
"ST31Q04",0
"ST31Q05",0
"ST31Q06",0
"ST31Q07",0
"ST31Q08",0
"ST32Q01",0
"ST32Q02",0
"ST32Q03",0
"ST32Q04",0
"ST32Q05",0
"ST32Q06",0
"ST32Q07",0
"ST32Q08",0
"ST32Q09",0
"ST32Q10",0
"ST33Q01",0
"ST33Q02",0
"ST33Q03",0
"ST33Q04",0
"ST33Q05",0
"ST33Q06",0
"ST34Q01",0
"ST34Q02",0
"ST34Q03",0
"ST34Q04",0
"ST34Q05",0
"ST34Q06",0
"ST34Q07",0
"ST34Q08",0
"ST34Q09",0
"ST34Q10",0
"ST34Q11",0
"ST34Q12",0
"ST34Q13",0
"ST34Q14",0
"ST35Q02",0
"ST35Q03",0
"ST36Q01",0
"ST37Q01",0
"ST37Q02",0
"ST37Q03",0
"ST37Q04",0
"ST37Q05",0
"ST37Q06",0
"ST37Q07",0
"ST37Q08",0
"ST37Q09",0
"ST37Q10",0
"ST38Q01",0
"ST38Q02",0
"ST38Q03",0
"ST38Q04",0
"ST38Q05",0
"ST38Q06",0
"ST38Q07",0
"ST38Q08",0
"ST38Q09",0
"ST38Q10",0
"ST38Q11",0
"EC01Q01",0
"EC02Q01",0
"EC03Q01",0
"EC04Q01",0
"EC05Q01",0
"EC06Q01",0
"EC06Q02",0
"EC07Q01",0
"EC07Q02",0
"EC07Q03",0
"EC08Q01",0
"IC01Q01",0
"IC01Q02",0
"IC01Q03",0
"IC02Q01",0
"IC03Q01",0
"IC04Q01",0
"IC04Q02",0
"IC04Q03",0
"IC05Q01",0
"IC05Q02",0
"IC05Q03",0
"IC05Q04",0
"IC05Q05",0
"IC05Q06",0
"IC05Q07",0
"IC05Q08",0
"IC05Q09",0
"IC05Q10",0
"IC05Q11",0
"IC05Q12",0
"IC06Q01",0
"IC06Q02",0
"IC06Q03",0
"IC06Q04",0
"IC06Q05",0
"IC06Q06",0
"IC06Q07",0
"IC06Q08",0
"IC06Q09",0
"IC06Q10",0
"IC06Q11",0
"IC06Q12",0
"IC06Q13",0
"IC06Q14",0
"IC06Q15",0
"IC06Q16",0
"IC06Q17",0
"IC06Q18",0
"IC06Q19",0
"IC06Q20",0
"IC06Q21",0
"IC06Q22",0
"IC06Q23",0
"IC07Q01",0
"IC07Q02",0
"IC07Q03",0
"IC07Q04",0
"IC08Q01",0
"IC09Q01",0
"SC07Q01",0
"CLCUSE3A",0
"CLCUSE3B",0
"AGE",0
"GRADE",0
"ISCEDL",0
"ISCEDD",0
"ISCEDO",0
"PROGN",0
"FAMSTRUC",0
"BMMJ",0
"BFMJ",0
"BSMJ",0
"HISEI",0
"MSECATEG",0
"FSECATEG",0
"HSECATEG",0
"SSECATEG",0
"MISCED",0
"FISCED",0
"HISCED",0
"PARED",0
"ISO_S",0
"ISO_M",0
"ISO_F",0
"IMMIG",0
"LANG",2.04354469060351
"LANGN",0
"SISCED",0
"MMINS",0
"TMINS",0
"PCMATH",0
"RMHMWK",0
"COMPHOME",0
"CULTPOSS",0
"HEDRES",0
"HOMEPOS",0
"ATSCHL",0
"STUREL",0
"BELONG",0
"INTMAT",0
"INSTMOT",0
"MATHEFF",0
"ANXMAT",0
"SCMAT",0
"CSTRAT",0
"ELAB",0
"MEMOR",0
"COMPLRN",0
"COOPLRN",0
"TEACHSUP",0
"DISCLIM",0
"INTUSE",0
"PRGUSE",0
"ROUTCONF",0
"INTCONF",0
"HIGHCONF",0
"ATTCOMP",0
"ESCS",0
"PV1MATH",0
"PV2MATH",0
"PV3MATH",0
"PV4MATH",0
"PV5MATH",0
"PV1MATH1",0
"PV2MATH1",0
"PV3MATH1",0
"PV4MATH1",0
"PV5MATH1",0
"PV1MATH2",0
"PV2MATH2",0
"PV3MATH2",0
"PV4MATH2",0
"PV5MATH2",0
"PV1MATH3",0
"PV2MATH3",0
"PV3MATH3",0
"PV4MATH3",0
"PV5MATH3",0
"PV1MATH4",0
"PV2MATH4",0
"PV3MATH4",0
"PV4MATH4",0
"PV5MATH4",0
"PV1READ",0
"PV2READ",0
"PV3READ",0
"PV4READ",0
"PV5READ",0
"PV1SCIE",0
"PV2SCIE",0
"PV3SCIE",0
"PV4SCIE",0
"PV5SCIE",0
"PV1PROB",0
"PV2PROB",0
"PV3PROB",0
"PV4PROB",0
"PV5PROB",0
"W_FSTUWT",0
"OECD",0
"UH",0
"W_FSTR1",0
"W_FSTR2",0
"W_FSTR3",0
"W_FSTR4",0
"W_FSTR5",0
"W_FSTR6",0
"W_FSTR7",0
"W_FSTR8",0
"W_FSTR9",0
"W_FSTR10",0
"W_FSTR11",0
"W_FSTR12",0
"W_FSTR13",0
"W_FSTR14",0
"W_FSTR15",0
"W_FSTR16",0
"W_FSTR17",0
"W_FSTR18",0
"W_FSTR19",0
"W_FSTR20",0
"W_FSTR21",0
"W_FSTR22",0
"W_FSTR23",0
"W_FSTR24",0
"W_FSTR25",0
"W_FSTR26",0
"W_FSTR27",0
"W_FSTR28",0
"W_FSTR29",0
"W_FSTR30",0
"W_FSTR31",0
"W_FSTR32",0
"W_FSTR33",0
"W_FSTR34",0
"W_FSTR35",0
"W_FSTR36",0
"W_FSTR37",0
"W_FSTR38",0
"W_FSTR39",0
"W_FSTR40",0
"W_FSTR41",0
"W_FSTR42",0
"W_FSTR43",0
"W_FSTR44",0
"W_FSTR45",0
"W_FSTR46",0
"W_FSTR47",0
"W_FSTR48",0
"W_FSTR49",0
"W_FSTR50",0
"W_FSTR51",0
"W_FSTR52",0
"W_FSTR53",0
"W_FSTR54",0
"W_FSTR55",0
"W_FSTR56",0
"W_FSTR57",0
"W_FSTR58",0
"W_FSTR59",0
"W_FSTR60",0
"W_FSTR61",0
"W_FSTR62",0
"W_FSTR63",0
"W_FSTR64",0
"W_FSTR65",0
"W_FSTR66",0
"W_FSTR67",0
"W_FSTR68",0
"W_FSTR69",0
"W_FSTR70",0
"W_FSTR71",0
"W_FSTR72",0
"W_FSTR73",0
"W_FSTR74",0
"W_FSTR75",0
"W_FSTR76",0
"W_FSTR77",0
"W_FSTR78",0
"W_FSTR79",0
"W_FSTR80",0
"WVARSTRR",0
"UNIT",0
"STRATUM",0
"CNTFAC1",0
"CNTFAC2",0
"SC01Q01",0
"SC02Q01",0
"SC02Q02",0
"SC03Q01",0
"SC04Q01",0
"SC04Q02",0
"SC04Q03",0
"SC04Q04",0
"SC05Q01",0
"SC05Q02",0
"SC05Q03",0
"SC05Q04",0
"SC05Q05",0
"SC05Q06",0
"SC05Q07",0
"SC05Q08",0
"SC05Q09",0
"SC05Q10",0
"SC05Q11",0
"SC05Q12",0
"SC05Q13",0
"SC05Q14",0
"SC06Q01",0
"SC06Q02",0
"SC08Q01",0
"SC08Q02",0
"SC08Q03",0
"SC08Q04",0
"SC08Q05",0
"SC08Q06",0
"SC08Q07",0
"SC08Q08",0
"SC08Q09",0
"SC08Q10",0
"SC08Q11",0
"SC08Q12",0
"SC08Q13",0
"SC08Q14",0
"SC08Q15",0
"SC08Q16",0
"SC08Q17",0
"SC08Q18",0
"SC08Q19",0
"SC08Q20",0
"SC09Q01",0
"SC09Q02",0
"SC09Q03",0
"SC09Q04",0
"SC09Q05",0
"SC09Q06",0
"SC10Q01",0
"SC10Q02",0
"SC10Q03",0
"SC10Q04",0
"SC10Q05",0
"SC10Q06",0
"SC10Q07",0
"SC11Q01",0
"SC11Q02",0
"SC11Q03",0
"SC11Q04",0
"SC11Q05",0
"SC11Q06",0
"SC11Q07",0
"SC12Q01",0
"SC12Q02",0
"SC12Q03",0
"SC12Q04",0
"SC12Q05",0
"SC13Q01",0
"SC13Q02",0
"SC13Q03",0
"SC13Q04",0
"SC13Q05",0
"SC13Q06",0
"SC13Q07",0
"SC13Q08",0
"SC14Q01",0
"SC15Q01",0
"SC15Q02",0
"SC16Q01",0
"SC16Q02",0
"SC16Q03",0
"SC16Q04",0
"SC17Q01",0
"SC17Q02",0
"SC17Q03",0
"SC17Q04",0
"SC17Q05",0
"SC18Q11",0
"SC18Q12",0
"SC18Q13",0
"SC18Q21",0
"SC18Q22",0
"SC18Q23",0
"SC19Q11",0
"SC19Q12",0
"SC19Q13",0
"SC19Q14",0
"SC19Q15",0
"SC19Q21",0
"SC19Q22",0
"SC19Q23",0
"SC19Q24",0
"SC19Q25",0
"SC20Q01",0
"SC20Q02",0
"SC20Q03",0
"SC20Q04",0
"SC21Q01",0
"SC21Q02",0
"SC21Q03",0
"SC22Q01",0
"SC22Q02",0
"SC22Q03",0
"SC23Q01",0
"SC23Q02",0
"SC23Q03",0
"SC24Q01",0
"SC24Q02",0
"SC24Q03",0
"SC24Q04",0
"SC25Q01",0
"SC25Q02",0
"SC25Q03",0
"SC25Q04",0
"SC25Q05",0
"SC25Q06",0
"SC25Q07",0
"SC25Q08",0
"SC25Q09",0
"SC25Q10",0
"SC25Q11",0
"SC25Q12",0
"SC25Q13",0
"SC26Q01",0
"SC26Q02",0
"SC26Q03",0
"SC26Q04",0
"SC26Q05",0
"SC26Q06",0
"SC26Q07",0
"SC26Q08",0
"SC26Q09",0
"SC26Q10",0
"SC26Q11",0
"SC26Q12",0
"SC27Q01",0
"SC27Q02",0
"SC27Q03",0
"SC27Q04",0
"SC27Q05",0
"SC27Q06",0
"SC27Q07",0
"SCHLSIZE",0
"PCGIRLS",0
"SCHLTYPE",0
"RATCOMP",0
"COMPWEB",0
"COMPLAN",0
"STRATIO",0
"PROPCERT",0
"PROPQPED",0
"SMRATIO",0
"PROPMATH",0
"PROPMA5A",0
"ASSESS",0
"SELECT",0
"ABGROUP",0
"EXCOURSE",0
"MACTIV",0
"AUTRES",0
"AUTCURR",0
"MSTREL",0
"TCSHORT",0
"SCMATBUI",0
"SCMATEDU",0
"STMORALE",0
"TCMORALE",0
"STUDBEHA",0
"TEACBEHA",0
