"Variable","Missing_Percentage"
"CNT",0
"COUNTRY",0
"OECD",0
"SUBNATIO",0
"SCHOOLID",0
"StIDStd",0
"ST01Q01",0
"ST02Q01",0
"ST03Q02",0
"ST03Q03",0
"ST04Q01",0
"ST05Q01",0
"ST06Q01",0
"ST07Q01",0
"ST07Q02",0
"ST07Q03",0
"ST08Q01",0
"ST08Q02",0
"ST08Q03",0
"ST08Q04",0
"ST08Q05",0
"ST08Q06",0
"ST09Q01",0
"ST10Q01",0
"ST11Q01",0
"ST11Q02",0
"ST11Q03",0
"ST11Q04",0
"ST12Q01",0
"ST13Q01",0
"ST14Q01",0
"ST15Q01",0
"ST15Q02",0
"ST15Q03",0
"ST15Q04",0
"ST16Q01",0
"ST17Q01",0
"ST17Q02",0
"ST17Q03",0
"ST18Q01",0
"ST19Q01",0
"ST20Q01",0
"ST20Q02",0
"ST20Q03",0
"ST20Q04",0
"ST20Q05",0
"ST20Q06",0
"ST20Q07",0
"ST20Q08",0
"ST20Q09",0
"ST20Q10",0
"ST20Q11",0
"ST20Q12",0
"ST20Q13",0
"ST20Q14",0
"ST20Q15",0
"ST20Q16",0
"ST20Q17",0
"ST21Q01",0
"ST21Q02",0
"ST21Q03",0
"ST21Q04",0
"ST21Q05",0
"ST22Q01",0
"ST23Q01",0
"ST24Q01",0
"ST24Q02",0
"ST24Q03",0
"ST24Q04",0
"ST24Q05",0
"ST24Q06",0
"ST24Q07",0
"ST24Q08",0
"ST24Q09",0
"ST24Q10",0
"ST24Q11",0
"ST25Q01",0
"ST25Q02",0
"ST25Q03",0
"ST25Q04",0
"ST25Q05",0
"ST26Q01",0
"ST26Q02",0
"ST26Q03",0
"ST26Q04",0
"ST26Q05",0
"ST26Q06",0
"ST26Q07",0
"ST27Q01",0
"ST27Q02",0
"ST27Q03",0
"ST27Q04",0
"ST27Q05",0
"ST27Q06",0
"ST27Q07",0
"ST27Q08",0
"ST27Q09",0
"ST27Q10",0
"ST27Q11",0
"ST27Q12",0
"ST27Q13",0
"ST28Q01",0
"ST28Q02",0
"ST28Q03",0
"ST29Q01",0
"ST29Q02",0
"ST29Q03",0
"ST30Q01",0
"ST31Q01",0
"ST31Q02",0
"ST31Q03",0
"ST31Q04",0
"ST31Q05",0
"ST31Q06",0
"ST31Q07",0
"ST31Q08",0
"ST31Q09",0
"ST32Q01",0
"ST32Q02",0
"ST32Q03",0
"ST32Q04",0
"ST33Q01",0
"ST33Q02",0
"ST33Q03",0
"ST33Q04",0
"ST34Q01",0
"ST34Q02",0
"ST34Q03",0
"ST34Q04",0
"ST34Q05",0
"ST35Q01",0
"ST36Q01",0
"ST36Q02",0
"ST36Q03",0
"ST36Q04",0
"ST36Q05",0
"ST37Q01",0
"ST37Q02",0
"ST37Q03",0
"ST37Q04",0
"ST37Q05",0
"ST37Q06",0
"ST37Q07",0
"ST38Q01",0
"ST38Q02",0
"ST38Q03",0
"ST38Q04",0
"ST38Q05",0
"ST38Q06",0
"ST38Q07",0
"ST38Q08",0
"ST38Q09",0
"ST39Q01",0
"ST39Q02",0
"ST39Q03",0
"ST39Q04",0
"ST39Q05",0
"ST39Q06",0
"ST39Q07",0
"ST40Q01",0
"ST41Q01",0
"ST41Q02",0
"ST41Q03",0
"ST41Q04",0
"ST41Q05",0
"ST41Q06",0
"ST42Q01",0
"ST42Q02",0
"ST42Q03",0
"ST42Q04",0
"ST42Q05",0
"IC01Q01",0
"IC01Q02",0
"IC01Q03",0
"IC01Q04",0
"IC01Q05",0
"IC01Q06",0
"IC01Q07",0
"IC01Q08",0
"IC02Q01",0
"IC02Q02",0
"IC02Q03",0
"IC02Q04",0
"IC02Q05",0
"IC03Q01",0
"IC04Q01",0
"IC04Q02",0
"IC04Q03",0
"IC04Q04",0
"IC04Q05",0
"IC04Q06",0
"IC04Q07",0
"IC04Q08",0
"IC04Q09",0
"IC05Q01",0
"IC05Q02",0
"IC05Q03",0
"IC05Q04",0
"IC05Q05",0
"IC06Q01",0
"IC06Q02",0
"IC06Q03",0
"IC06Q04",0
"IC06Q05",0
"IC06Q06",0
"IC06Q07",0
"IC06Q08",0
"IC06Q09",0
"IC07Q01",0
"IC07Q02",0
"IC07Q03",0
"IC07Q04",0
"IC08Q01",0
"IC08Q02",0
"IC08Q03",0
"IC08Q04",0
"IC08Q05",0
"IC09Q01",0
"IC10Q01",0
"IC10Q02",0
"IC10Q03",0
"IC10Q04",0
"EC01Q01",0
"EC02Q01",0
"EC03Q01",0
"EC04Q01",0
"EC05Q01A",0
"EC05Q01B",0
"EC05Q01C",0
"EC05Q01D",0
"EC05Q01E",0
"EC05Q01F",0
"EC06Q01",0
"EC06Q02",0
"EC06Q03",0
"EC07Q01",0
"RFS1Q01",0
"RFS1Q02",0
"RFS1Q03",0
"RFS1Q04",0
"RFS1Q05",0
"RFS1Q06",0
"RFS1Q07",0
"RFS1Q08",0
"RFS2Q01",0
"RFS2Q02",0
"RFS2Q03",0
"RFS2Q04",0
"RFS2Q05",0
"RFS2Q06",0
"RFS2Q07",0
"RFS2Q08",0
"RFS2Q09",0
"BOOKID",0
"AGE",0
"BFMJ",0
"BMMJ",0
"COBN_F",0
"COBN_M",0
"COBN_S",0
"GRADE",0
"FAMSTRUC",0
"FISCED",0
"MISCED",0
"HISCED",0
"FSECATEG",0
"MSECATEG",0
"HSECATEG",0
"HISEI",0
"IMMIG",0
"ISCEDD",0
"ISCEDL",0
"ISCEDO",0
"LANGN",0
"LMINS",0
"MMINS",0
"SMINS",0
"METASUM",0
"UNDREM",0
"PARED",0
"PROGN",0
"ATTCOMP",0
"ATSCHL",0
"CSTRAT",0
"CULTPOSS",0
"DISCLIMA",0
"DIVREAD",0
"ELAB",0
"ENTUSE",0
"ESCS",0
"HEDRES",0
"HIGHCONF",0
"HOMEPOS",0
"HOMSCH",0
"ICTHOME",0
"ICTRES",0
"ICTSCH",0
"JOYREAD",0
"LIBUSE",0
"MEMOR",0
"ONLNREAD",0
"STIMREAD",0
"STRSTRAT",0
"STUDREL",0
"USESCH",0
"WEALTH",0
"RFSINTRP",0
"RFSNCONT",0
"RFSTRLIT",0
"RFSFUMAT",0
"PV1MATH",0
"PV2MATH",0
"PV3MATH",0
"PV4MATH",0
"PV5MATH",0
"PV1READ",0
"PV2READ",0
"PV3READ",0
"PV4READ",0
"PV5READ",0
"PV1SCIE",0
"PV2SCIE",0
"PV3SCIE",0
"PV4SCIE",0
"PV5SCIE",0
"PV1READ1",0
"PV2READ1",0
"PV3READ1",0
"PV4READ1",0
"PV5READ1",0
"PV1READ2",0
"PV2READ2",0
"PV3READ2",0
"PV4READ2",0
"PV5READ2",0
"PV1READ3",0
"PV2READ3",0
"PV3READ3",0
"PV4READ3",0
"PV5READ3",0
"PV1READ4",0
"PV2READ4",0
"PV3READ4",0
"PV4READ4",0
"PV5READ4",0
"PV1READ5",0
"PV2READ5",0
"PV3READ5",0
"PV4READ5",0
"PV5READ5",0
"W_FSTUWT",0
"W_FSTR1",0
"W_FSTR2",0
"W_FSTR3",0
"W_FSTR4",0
"W_FSTR5",0
"W_FSTR6",0
"W_FSTR7",0
"W_FSTR8",0
"W_FSTR9",0
"W_FSTR10",0
"W_FSTR11",0
"W_FSTR12",0
"W_FSTR13",0
"W_FSTR14",0
"W_FSTR15",0
"W_FSTR16",0
"W_FSTR17",0
"W_FSTR18",0
"W_FSTR19",0
"W_FSTR20",0
"W_FSTR21",0
"W_FSTR22",0
"W_FSTR23",0
"W_FSTR24",0
"W_FSTR25",0
"W_FSTR26",0
"W_FSTR27",0
"W_FSTR28",0
"W_FSTR29",0
"W_FSTR30",0
"W_FSTR31",0
"W_FSTR32",0
"W_FSTR33",0
"W_FSTR34",0
"W_FSTR35",0
"W_FSTR36",0
"W_FSTR37",0
"W_FSTR38",0
"W_FSTR39",0
"W_FSTR40",0
"W_FSTR41",0
"W_FSTR42",0
"W_FSTR43",0
"W_FSTR44",0
"W_FSTR45",0
"W_FSTR46",0
"W_FSTR47",0
"W_FSTR48",0
"W_FSTR49",0
"W_FSTR50",0
"W_FSTR51",0
"W_FSTR52",0
"W_FSTR53",0
"W_FSTR54",0
"W_FSTR55",0
"W_FSTR56",0
"W_FSTR57",0
"W_FSTR58",0
"W_FSTR59",0
"W_FSTR60",0
"W_FSTR61",0
"W_FSTR62",0
"W_FSTR63",0
"W_FSTR64",0
"W_FSTR65",0
"W_FSTR66",0
"W_FSTR67",0
"W_FSTR68",0
"W_FSTR69",0
"W_FSTR70",0
"W_FSTR71",0
"W_FSTR72",0
"W_FSTR73",0
"W_FSTR74",0
"W_FSTR75",0
"W_FSTR76",0
"W_FSTR77",0
"W_FSTR78",0
"W_FSTR79",0
"W_FSTR80",0
"TESTLANG",0
"CNTFAC",0
"STRATUM",0
"WVARSTRR",0
"RANDUNIT",0
"VER_STU",0
"SC01Q01",0
"SC01Q02",0
"SC01Q03",0
"SC01Q04",0
"SC01Q05",0
"SC01Q06",0
"SC01Q07",0
"SC01Q08",0
"SC01Q09",0
"SC01Q10",0
"SC01Q11",0
"SC01Q12",0
"SC01Q13",0
"SC01Q14",0
"SC02Q01",0
"SC03Q01",0
"SC03Q02",0
"SC03Q03",0
"SC03Q04",0
"SC04Q01",0
"SC05Q01",0
"SC06Q01",0
"SC06Q02",0
"SC07Q01",0
"SC07Q02",0
"SC08Q01",0
"SC09Q11",0
"SC09Q12",0
"SC09Q21",0
"SC09Q22",0
"SC09Q31",0
"SC09Q32",0
"SC10Q01",0
"SC10Q02",0
"SC10Q03",0
"SC11Q01",0
"SC11Q02",0
"SC11Q03",0
"SC11Q04",0
"SC11Q05",0
"SC11Q06",0
"SC11Q07",0
"SC11Q08",0
"SC11Q09",0
"SC11Q10",0
"SC11Q11",0
"SC11Q12",0
"SC11Q13",0
"SC12Q01",0
"SC12Q02",0
"SC13Q01",0
"SC13Q02",0
"SC13Q03",0
"SC13Q04",0
"SC13Q05",0
"SC13Q06",0
"SC13Q07",0
"SC13Q08",0
"SC13Q09",0
"SC13Q10",0
"SC13Q11",0
"SC13Q12",0
"SC13Q13",0
"SC13Q14",0
"SC14Q01",0
"SC14Q02",0
"SC14Q03",0
"SC14Q04",0
"SC14Q05",0
"SC15Q01",0
"SC15Q02",0
"SC15Q03",0
"SC15Q04",0
"SC15Q05",0
"SC16Q01",0
"SC16Q02",0
"SC16Q03",0
"SC16Q04",0
"SC16Q05",0
"SC16Q06",0
"SC16Q07",0
"SC16Q08",0
"SC17Q01",0
"SC17Q02",0
"SC17Q03",0
"SC17Q04",0
"SC17Q05",0
"SC17Q06",0
"SC17Q07",0
"SC17Q08",0
"SC17Q09",0
"SC17Q10",0
"SC17Q11",0
"SC17Q12",0
"SC17Q13",0
"SC18Q01",0
"SC19Q01",0
"SC19Q02",0
"SC19Q03",0
"SC19Q04",0
"SC19Q05",0
"SC19Q06",0
"SC19Q07",0
"SC20Q01",0
"SC20Q02",0
"SC20Q03",0
"SC20Q04",0
"SC20Q05",0
"SC20Q06",0
"SC21Q01",0
"SC21Q02",0
"SC21Q03",0
"SC22Q01",0
"SC22Q02",0
"SC22Q03",0
"SC22Q04",0
"SC22Q05",0
"SC23Q01",0
"SC23Q02",0
"SC23Q03",0
"SC23Q04",0
"SC24Qa1",0
"SC24Qa2",0
"SC24Qa3",0
"SC24Qa4",0
"SC24Qa5",0
"SC24Qb1",0
"SC24Qb2",0
"SC24Qb3",0
"SC24Qb4",0
"SC24Qb5",0
"SC24Qc1",0
"SC24Qc2",0
"SC24Qc3",0
"SC24Qc4",0
"SC24Qc5",0
"SC24Qd1",0
"SC24Qd2",0
"SC24Qd3",0
"SC24Qd4",0
"SC24Qd5",0
"SC24Qe1",0
"SC24Qe2",0
"SC24Qe3",0
"SC24Qe4",0
"SC24Qe5",0
"SC24Qf1",0
"SC24Qf2",0
"SC24Qf3",0
"SC24Qf4",0
"SC24Qf5",0
"SC24Qg1",0
"SC24Qg2",0
"SC24Qg3",0
"SC24Qg4",0
"SC24Qg5",0
"SC24Qh1",0
"SC24Qh2",0
"SC24Qh3",0
"SC24Qh4",0
"SC24Qh5",0
"SC24Qi1",0
"SC24Qi2",0
"SC24Qi3",0
"SC24Qi4",0
"SC24Qi5",0
"SC24Qj1",0
"SC24Qj2",0
"SC24Qj3",0
"SC24Qj4",0
"SC24Qj5",0
"SC24Qk1",0
"SC24Qk2",0
"SC24Qk3",0
"SC24Qk4",0
"SC24Qk5",0
"SC24Ql1",0
"SC24Ql2",0
"SC24Ql3",0
"SC24Ql4",0
"SC24Ql5",0
"SC25Qa1",0
"SC25Qa2",0
"SC25Qa3",0
"SC25Qa4",0
"SC25Qb1",0
"SC25Qb2",0
"SC25Qb3",0
"SC25Qb4",0
"SC25Qc1",0
"SC25Qc2",0
"SC25Qc3",0
"SC25Qc4",0
"SC25Qd1",0
"SC25Qd2",0
"SC25Qd3",0
"SC25Qd4",0
"SC25Qe1",0
"SC25Qe2",0
"SC25Qe3",0
"SC25Qe4",0
"SC25Qf1",0
"SC25Qf2",0
"SC25Qf3",0
"SC25Qf4",0
"SC26Q01",0
"SC26Q02",0
"SC26Q03",0
"SC26Q04",0
"SC26Q05",0
"SC26Q06",0
"SC26Q07",0
"SC26Q08",0
"SC26Q09",0
"SC26Q10",0
"SC26Q11",0
"SC26Q12",0
"SC26Q13",0
"SC26Q14",0
"SC27Q01",0
"ABGROUP",0
"COMPWEB",0
"IRATCOMP",0
"PCGIRLS",0
"PROPCERT",0
"PROPQUAL",0
"SCHSIZE",0
"SCHTYPE",0
"SELSCH",0
"STRATIO",0
"EXCURACT",0
"LDRSHP",0
"RESPCURR",0
"RESPRES",0
"SCMATEDU",0
"STUDBEHA",0
"TCHPARTI",0
"TCSHORT",0
"TEACBEHA",0
"W_FSCHWT",0
"VER_SCH",0
