country,cnt,subnatio,schoolid,stidstd,st01q01,st02q02,st02q03,st03q01,st04q01,st04q02,st04q03,st04q04,st04q05,st05q01,st06q01,st07q01,st09q01,st11r01,st12q01,st12q02,st12q03,st13r01,st14q01,st14q02,st14q03,st15q01,st15q02,st15q03,st15q04,st16q01,st17q01,st17q02,st17q03,st17q04,st17q05,st17q06,st17q07,st17q08,st17q09,st17q10,st17q11,st17q12,st17q13,st17q14,st17q15,st17q16,st19q01,st20q01,st21q01,st22q01,st22q02,st22q03,st23q01,st23q02,st23q03,st23q04,st23q05,st23q06,st24q01,st24q02,st24q03,st24q04,st25q01,st25q02,st25q03,st25q04,st25q05,st25q06,st26q01,st26q02,st26q03,st26q04,st26q05,st27q01,st27q02,st27q03,st27q04,st27q05,st27q06,st28q01,st29q01,st29q02,st29q03,st29q04,st29q05,st29q06,st30q01,st30q02,st30q03,st30q04,st30q05,st30q06,st30q07,st30q08,st31q01,st31q02,st31q03,st31q04,st31q05,st31q06,st31q07,st31q08,st32q01,st32q02,st32q03,st32q04,st32q05,st32q06,st32q07,st32q08,st32q09,st32q10,st33q01,st33q02,st33q03,st33q04,st33q05,st33q06,st34q01,st34q02,st34q03,st34q04,st34q05,st34q06,st34q07,st34q08,st34q09,st34q10,st34q11,st34q12,st34q13,st34q14,st35q02,st35q03,st36q01,st37q01,st37q02,st37q03,st37q04,st37q05,st37q06,st37q07,st37q08,st37q09,st37q10,st38q01,st38q02,st38q03,st38q04,st38q05,st38q06,st38q07,st38q08,st38q09,st38q10,st38q11,ec01q01,ec02q01,ec03q01,ec04q01,ec05q01,ec06q01,ec06q02,ec07q01,ec07q02,ec07q03,ec08q01,ic01q01,ic01q02,ic01q03,ic02q01,ic03q01,ic04q01,ic04q02,ic04q03,ic05q01,ic05q02,ic05q03,ic05q04,ic05q05,ic05q06,ic05q07,ic05q08,ic05q09,ic05q10,ic05q11,ic05q12,ic06q01,ic06q02,ic06q03,ic06q04,ic06q05,ic06q06,ic06q07,ic06q08,ic06q09,ic06q10,ic06q11,ic06q12,ic06q13,ic06q14,ic06q15,ic06q16,ic06q17,ic06q18,ic06q19,ic06q20,ic06q21,ic06q22,ic06q23,ic07q01,ic07q02,ic07q03,ic07q04,ic08q01,ic09q01,sc07q01,clcuse3a,clcuse3b,age,grade,iscedl,iscedd,iscedo,progn,famstruc,bmmj,bfmj,bsmj,hisei,msecateg,fsecateg,hsecateg,ssecateg,misced,fisced,hisced,pared,iso_s,iso_m,iso_f,immig,lang,langn,sisced,mmins,tmins,pcmath,rmhmwk,comphome,cultposs,hedres,homepos,atschl,sturel,belong,intmat,instmot,matheff,anxmat,scmat,cstrat,elab,memor,complrn,cooplrn,teachsup,disclim,intuse,prguse,routconf,intconf,highconf,attcomp,escs,pv1math,pv2math,pv3math,pv4math,pv5math,pv1math1,pv2math1,pv3math1,pv4math1,pv5math1,pv1math2,pv2math2,pv3math2,pv4math2,pv5math2,pv1math3,pv2math3,pv3math3,pv4math3,pv5math3,pv1math4,pv2math4,pv3math4,pv4math4,pv5math4,pv1read,pv2read,pv3read,pv4read,pv5read,pv1scie,pv2scie,pv3scie,pv4scie,pv5scie,pv1prob,pv2prob,pv3prob,pv4prob,pv5prob,w_fstuwt,oecd,uh,w_fstr1,w_fstr2,w_fstr3,w_fstr4,w_fstr5,w_fstr6,w_fstr7,w_fstr8,w_fstr9,w_fstr10,w_fstr11,w_fstr12,w_fstr13,w_fstr14,w_fstr15,w_fstr16,w_fstr17,w_fstr18,w_fstr19,w_fstr20,w_fstr21,w_fstr22,w_fstr23,w_fstr24,w_fstr25,w_fstr26,w_fstr27,w_fstr28,w_fstr29,w_fstr30,w_fstr31,w_fstr32,w_fstr33,w_fstr34,w_fstr35,w_fstr36,w_fstr37,w_fstr38,w_fstr39,w_fstr40,w_fstr41,w_fstr42,w_fstr43,w_fstr44,w_fstr45,w_fstr46,w_fstr47,w_fstr48,w_fstr49,w_fstr50,w_fstr51,w_fstr52,w_fstr53,w_fstr54,w_fstr55,w_fstr56,w_fstr57,w_fstr58,w_fstr59,w_fstr60,w_fstr61,w_fstr62,w_fstr63,w_fstr64,w_fstr65,w_fstr66,w_fstr67,w_fstr68,w_fstr69,w_fstr70,w_fstr71,w_fstr72,w_fstr73,w_fstr74,w_fstr75,w_fstr76,w_fstr77,w_fstr78,w_fstr79,w_fstr80,wvarstrr,unit,stratum,cntfac1,cntfac2,sc01q01,sc02q01,sc02q02,sc03q01,sc04q01,sc04q02,sc04q03,sc04q04,sc05q01,sc05q02,sc05q03,sc05q04,sc05q05,sc05q06,sc05q07,sc05q08,sc05q09,sc05q10,sc05q11,sc05q12,sc05q13,sc05q14,sc06q01,sc06q02,sc08q01,sc08q02,sc08q03,sc08q04,sc08q05,sc08q06,sc08q07,sc08q08,sc08q09,sc08q10,sc08q11,sc08q12,sc08q13,sc08q14,sc08q15,sc08q16,sc08q17,sc08q18,sc08q19,sc08q20,sc09q01,sc09q02,sc09q03,sc09q04,sc09q05,sc09q06,sc10q01,sc10q02,sc10q03,sc10q04,sc10q05,sc10q06,sc10q07,sc11q01,sc11q02,sc11q03,sc11q04,sc11q05,sc11q06,sc11q07,sc12q01,sc12q02,sc12q03,sc12q04,sc12q05,sc13q01,sc13q02,sc13q03,sc13q04,sc13q05,sc13q06,sc13q07,sc13q08,sc14q01,sc15q01,sc15q02,sc16q01,sc16q02,sc16q03,sc16q04,sc17q01,sc17q02,sc17q03,sc17q04,sc17q05,sc18q11,sc18q12,sc18q13,sc18q21,sc18q22,sc18q23,sc19q11,sc19q12,sc19q13,sc19q14,sc19q15,sc19q21,sc19q22,sc19q23,sc19q24,sc19q25,sc20q01,sc20q02,sc20q03,sc20q04,sc21q01,sc21q02,sc21q03,sc22q01,sc22q02,sc22q03,sc23q01,sc23q02,sc23q03,sc24q01,sc24q02,sc24q03,sc24q04,sc25q01,sc25q02,sc25q03,sc25q04,sc25q05,sc25q06,sc25q07,sc25q08,sc25q09,sc25q10,sc25q11,sc25q12,sc25q13,sc26q01,sc26q02,sc26q03,sc26q04,sc26q05,sc26q06,sc26q07,sc26q08,sc26q09,sc26q10,sc26q11,sc26q12,sc27q01,sc27q02,sc27q03,sc27q04,sc27q05,sc27q06,sc27q07,schlsize,pcgirls,schltype,ratcomp,compweb,complan,stratio,propcert,propqped,smratio,propmath,propma5a,assess,select,abgroup,excourse,mactiv,autres,autcurr,mstrel,tcshort,scmatbui,scmatedu,stmorale,tcmorale,studbeha,teacbeha,tchcons,schauton,tchparti,scweight
764,THA,7640,00022,00641,9,1,88,1,1,2,1,2,1,1,1,9501,9120,2,2,7,2,2,2,7,2,1,1,1,997,1,1,1,2,2,2,2,1,2,2,1,2,1,2,99997,99997,99997,3,3,7,1,1,7,1,2,1,1,7,1,3,3,2,2,2,2,1,2,2,2,2,2,2,2,2,3,2,2,3,2,3,1,8,0,0,0,0,0,3,2,3,3,2,2,2,2,3,3,2,2,2,3,3,3,2,2,2,3,2,3,3,2,3,2,5,0,0,0,0,0,2,3,2,3,3,3,2,3,3,3,3,3,3,3,5,35,38,3,3,3,2,3,3,3,3,3,3,3,3,2,3,2,3,1,3,2,1,3,1,1,1,1,9,7,9997,1,1,997,9111,2,1,2,1,1,5,2,5,5,5,5,4,5,5,5,5,5,5,5,5,3,1,1,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,1,4,4,3,2,2,2,1,3,40,9,10,15.58,-1,2,1,1,764001,2,99,28,29,28,4,4,4,4,1,1,1,6,99997640,99997640,99997640,1,0,764001,5,250,1750,0.143,0.625,-1.6763,-0.3088,-1.4485,-1.082,-0.2813,0.381,-0.6383,0.029,0.0975,-0.8891,0.8955,-0.5113,-1.0439,-0.8525,-0.5572,-0.8121,-0.8697,0.3675,-0.1981,-1.8749,-2.6114,-2.9231,-2.8259,-1.8797,-0.7377,-1.92053,412.6344,362.0034,331.6249,382.2558,344.8668,402.5082,431.3289,382.2558,341.7511,386.1505,368.2349,362.7824,333.9617,325.3934,389.2662,375.2454,398.6135,364.3402,384.5926,386.1505,392.382,424.3184,370.5717,372.9086,416.5291,441.9375,394.2702,425.2539,385.5312,475.3046,372.0281,357.5033,324.8224,394.7232,355.6877,438.3287,403.438,418.7559,444.2856,476.6233,140.0171,0,0,239.0241,41.0101,239.0241,41.0101,239.0241,41.0101,239.0241,239.0241,239.0241,239.0241,41.0101,41.0101,239.0241,41.0101,41.0101,239.0241,239.0241,41.0101,41.0101,41.0101,239.0241,41.0101,239.0241,41.0101,239.0241,41.0101,239.0241,239.0241,239.0241,239.0241,41.0101,41.0101,239.0241,41.0101,41.0101,239.0241,239.0241,41.0101,41.0101,41.0101,41.0101,239.0241,41.0101,239.0241,41.0101,239.0241,41.0101,41.0101,41.0101,41.0101,239.0241,239.0241,41.0101,239.0241,239.0241,41.0101,41.0101,239.0241,239.0241,239.0241,41.0101,239.0241,41.0101,239.0241,41.0101,239.0241,41.0101,41.0101,41.0101,41.0101,239.0241,239.0241,41.0101,239.0241,239.0241,41.0101,41.0101,239.0241,239.0241,239.0241,34,1,76403,0.0015696722,0.0082188038,2,438,428,1,90,0,10,0,2,2,2,2,2,2,1,1,1,1,1,1,7,7,0,0,2,1,1,7,1,1,3,1,3,2,2,2,1,9,3,2,3,3,2,3,62,48,10,4,38,38,4,3,1,4,3,4,7,1,1,1,1,1,1,1,2,1,2,5,5,1,2,1,1,1,2,2,2,4,4,4,2,1,2,2,2,1,1,2,2,43,43,43,0,0,0,6,4,2,6,997,0,0,0,0,997,1,1,1,1,2,2,3,2,2,3,2,2,4,3,2,2,2,1,2,1,1,1,2,2,1,1,1,3,2,1,22122,22111,12222,22111,21111,22111,21111,22111,22111,22111,21111,21111,1111,2112,2122,2212,1111,2112,1111,866,0.494,3,0.072,0.613,0.613,20.14,1,1,144.333,0.14,0.667,2,3,3,1,1,5,4,0,-0.516,0.446,-0.688,2.588,-1.374,1.026,0.922,0.659,0.974,3.252,23.33618
764,THA,7640,00070,02064,10,10,87,1,1,2,1,2,2,1,1,5121,8322,3,2,7,2,3,2,7,2,1,1,1,997,1,1,2,1,2,2,2,1,2,2,1,1,1,2,99997,99997,99997,2,3,7,1,1,1,1,2,1,2,7,1,3,4,2,1,1,2,1,2,2,2,2,2,2,2,2,3,2,2,3,2,3,1,15,0,0,0,0,0,2,2,2,2,2,2,2,2,3,2,3,2,2,3,3,3,2,2,2,3,2,3,3,2,3,2,3,0,0,0,0,0,2,2,2,2,2,3,2,2,3,3,2,2,3,2,2,35,26,3,2,3,2,3,2,3,2,2,3,1,3,1,3,1,3,2,3,3,2,4,1,1,1,1,2,7,9997,3,1,997,4115,2,1,1,1,4,5,3,3,3,4,2,4,4,4,4,5,4,5,5,3,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,2,1,1,1,2,4,5,40,10,10,15.83,0,3,1,1,764002,2,30,30,53,30,2,4,2,2,2,2,2,9,99997640,99997640,99997640,1,0,764001,5,100,1750,0.057,0.2,-1.6763,-0.3088,0.6766,-0.8142,0.7713,0.381,-0.6383,0.973,0.0975,-0.8891,0.8955,-0.5113,-0.3792,0.8409,-0.5572,-0.8121,0.4394,0.9356,0.3957,-0.6738,-0.3614,0.8082,-0.3228,0.0191,0.6491,-1.38477,398.5356,471.7557,430.472,400.8724,403.2092,425.0195,400.8724,406.325,379.0622,346.3468,489.6713,412.5565,386.0726,439.0403,405.546,482.6609,428.1352,473.3136,463.9663,393.083,506.8079,455.398,471.7557,460.8506,406.325,485.9502,522.4952,573.3402,425.5717,446.2275,443.563,441.7474,472.6127,370.9388,468.0737,425.1383,437.0522,387.6947,375.7808,374.9298,115.4821,0,0,57.741,173.2231,173.2231,57.741,173.2231,173.2231,57.741,57.741,173.2231,173.2231,173.2231,173.2231,57.741,173.2231,57.741,173.2231,57.741,57.741,57.741,57.741,57.741,173.2231,173.2231,57.741,173.2231,173.2231,57.741,57.741,173.2231,173.2231,173.2231,173.2231,57.741,173.2231,57.741,173.2231,57.741,57.741,57.741,57.741,57.741,173.2231,173.2231,57.741,173.2231,173.2231,57.741,57.741,173.2231,173.2231,173.2231,173.2231,57.741,173.2231,57.741,173.2231,57.741,57.741,57.741,57.741,57.741,173.2231,173.2231,57.741,173.2231,173.2231,57.741,57.741,173.2231,173.2231,173.2231,173.2231,57.741,173.2231,57.741,173.2231,57.741,57.741,57.741,57.741,36,2,76403,0.0015696722,0.0082188038,5,1098,1245,1,85,0,10,5,2,2,2,2,2,2,1,1,1,1,1,1,7,7,0,0,3,1,2,7,3,2,2,3,2,2,2,2,2,3,3,3,2,3,3,3,110,70,30,7,15,0,2,2,2,2,2,4,7,2,2,2,1,2,2,2,2,4,2,2,5,1,1,1,2,1,1,1,2,4,4,4,2,2,1,1,1,1,1,1,2,110,108,110,5,5,5,10,8,2,10,997,0,0,0,0,997,1,1,1,2,2,3,3,3,2,3,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,1,2,1,2,12222,12222,22122,22112,21112,21122,21122,21112,21122,21211,22211,22211,1122,2122,2222,2112,1111,2211,2212,2343,0.531,3,0.047,0.136,0,20.827,0.982,1,234.3,0.089,0.8,2,2,2,2,2,4,4,0.01,0.602,0.146,-0.688,0.514,-0.571,0.39,-0.382,-0.835,0.457,-0.01,9.60635
764,THA,7640,00143,04216,9,4,88,2,1,2,1,2,2,2,2,6130,6130,2,2,7,2,2,2,7,2,1,1,1,997,3,1,1,1,2,2,2,1,2,1,2,1,2,2,99997,99997,99997,2,1,7,1,1,7,1,2,1,2,7,1,3,4,2,2,1,1,1,1,1,2,2,2,2,2,2,3,2,2,3,2,3,1,15,1,0,0,0,0,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2,2,2,2,3,2,3,3,2,3,2,5,0,0,0,0,0,2,3,2,2,2,3,2,2,3,2,3,3,3,2,5,36,34,2,2,2,2,2,2,2,2,3,3,1,3,1,2,1,3,1,3,3,1,3,1,1,1,1,9,7,9997,3,1,997,1319,9,1,9,1,2,5,2,9,5,2,2,5,2,4,2,5,2,4,2,5,1,2,1,1,1,1,2,1,2,1,2,2,1,2,2,2,1,1,2,2,1,2,3,2,2,2,3,1,2,40,9,9,15.33,-1,2,1,1,764001,2,23,23,51,23,3,3,3,1,1,1,1,6,99997640,99997640,99997640,1,0,764002,5,250,1800,0.139,0.3333,-1.6763,-0.3088,-0.6236,-0.8142,0.2022,0.381,-0.6383,0.973,0.0975,-0.5865,0.8955,-0.5113,-0.3792,0.1629,-0.5572,0.3622,0.0605,2.0995,0.0786,-0.9237,0.856,-0.7285,-0.8908,0.0191,-0.7377,-1.93635,479.5451,459.2927,463.9663,463.1874,456.9559,470.9768,526.2814,541.0812,562.1125,517.713,410.9986,512.2605,486.5555,513.0394,484.9977,415.6722,503.6922,487.3345,530.176,468.64,430.472,496.6817,519.2709,551.9863,515.3762,428.037,424.8286,437.662,424.0265,479.3708,477.3333,460.0851,524.5391,459.1773,539.064,493.8133,522.747,385.7374,535.5119,509.9821,113.3005,0,0,56.6502,56.6502,56.6502,56.6502,169.9507,169.9507,56.6502,169.9507,169.9507,56.6502,56.6502,169.9507,169.9507,169.9507,169.9507,56.6502,169.9507,56.6502,169.9507,56.6502,56.6502,56.6502,56.6502,56.6502,169.9507,169.9507,56.6502,169.9507,169.9507,56.6502,56.6502,169.9507,169.9507,169.9507,169.9507,56.6502,169.9507,56.6502,169.9507,56.6502,169.9507,169.9507,169.9507,169.9507,56.6502,56.6502,169.9507,56.6502,56.6502,169.9507,169.9507,56.6502,56.6502,56.6502,56.6502,169.9507,56.6502,169.9507,56.6502,169.9507,169.9507,169.9507,169.9507,169.9507,56.6502,56.6502,169.9507,56.6502,56.6502,169.9507,169.9507,56.6502,56.6502,56.6502,56.6502,169.9507,56.6502,169.9507,56.6502,169.9507,61,2,76403,0.0015696722,0.0082188038,2,468,594,1,90,0,10,0,2,2,2,2,2,2,1,1,1,1,1,1,7,7,0,0,3,3,3,7,3,2,3,3,3,3,2,2,2,2,4,4,4,4,3,3,29,20,8,1,20,6,4,3,3,2,2,3,7,1,1,1,1,1,1,1,3,4,3,4,5,1,2,2,2,2,2,2,2,4,4,4,1,1,1,1,1,1,1,1,1,49,49,46,1,0,0,5,4,1,4,997,1,0,0,0,997,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,12222,21122,21122,21112,21112,21112,21111,21111,21111,21111,21111,21111,1111,1111,1122,1122,1122,1122,1111,1062,0.559,3,0.027,0.69,0.207,21.455,0.99,0.929,193.091,0.111,0.727,2,1,3,2,3,5,4,0,1.108,0.146,-1.833,2.588,1.65,0.39,-0.135,-3.037,0.974,1.502,19.25008
