country,cnt,schoolid,stidstd,subnatio,st01q02,st01q03,st02q01,st03q01,st04q01,st04q02,st04q03,st04q04,st04q05,st04q06,st04q07,st04q08,st05q01,st05q02,st05q03,st06q01,st07q01,st09q01,st11q01,st12q01,st13q01,st14q01,st15q01,st16q01,st16q02,st16q03,st17q01,st18q01,st18q02,st18q03,st18q04,st18q05,st18q06,st19q01,st19q02,st19q03,st19q04,st19q05,st19q06,st20q01,st20q02,st20q03,st20q04,st20q05,st20q06,st21q01,st21q02,st21q03,st21q04,st21q05,st21q06,st21q07,st21q08,st21q09,st21q10,st21q11,st22q01,st22q02,st22q03,st22q04,st22q05,st22q06,st22q07,st23q01,st23q02,st23q03,st23q04,st24q01,st24q02,st24q03,st24q04,st24q05,st24q06,st24q07,st25q01,st26q01,st26q02,st26q03,st26q04,st26q05,st26q06,st26q07,st26q08,st26q09,st26q10,st26q11,st26q12,st26q13,st26q14,st26q15,st26q16,st26q17,st27q01,st27q02,st27q03,st27q04,st27q05,st27q06,st28q01,st28q02,st28q03,st29q01,st29q02,st29q03,st30q01,st30q02,st30q03,st30q04,st30q05,st31q01,st31q02,st31q03,st31q04,st31q05,st31q06,st31q07,st31q08,st32q01,st32q02,st32q03,st32q04,st32q05,st32q06,st32q07,st33q01,st33q02,st33q03,st34q01,st35q01,st35q02,st35q03,st35q04,st35q05,st35q06,st35q07,st35q08,st35q09,st36q01,st36q02,st36q03,st36q04,st36q05,st36q06,st37q01,st38q01,st39q01,st39q02,st39q03,st39q04,st39q05,st40q01,st41q01,st41q02,st41q03,st41q04,st41q05,st41q06,st41q07,st41q08,st41q09,bmmj,bfmj,bthr,it01q01,it01q02,it01q03,it01q04,it02q01,it02q02,it02q03,it03q01,it04q01,it04q02,it04q03,it04q04,it05q01,it05q02,it05q03,it05q04,it06q01,it06q02,it06q03,it06q04,it06q05,it07q01,it08q01,it09q01,it10q01,cc01q01,cc01q02,cc01q03,cc01q04,cc01q05,cc01q06,cc01q07,cc01q08,cc01q09,cc01q10,cc01q11,cc01q12,cc01q13,cc01q14,cc01q15,cc01q16,cc01q17,cc01q18,cc01q19,cc01q20,cc01q21,cc01q22,cc01q23,cc01q24,cc01q25,cc01q26,cc01q27,cc01q28,cc02q01,cc02q02,cc02q03,cc02q04,cc02q05,cc02q06,cc02q07,cc02q08,cc02q09,cc02q10,cc02q11,cc02q12,cc02q13,cc02q14,cc02q15,cc02q16,cc02q17,cc02q18,cc02q19,cc02q20,cc02q21,cc02q22,cc02q23,cc02q24,rmins,mmins,smins,age,famstruc,nsib,brthord,isei,hisei,fisced,misced,cultcom,soccom,famedsup,wealth,hedres,cultactv,cultposs,hmwktime,teachsup,disclima,studrel,achpress,belong,joyread,divread,comab,comuse,comatt,cstrat,effper,memor,selfef,cexp,elab,insmot,intmat,matcon,intrea,scacad,scverb,comlrn,coplrn,wleread,wlerr_r,wleread1,wlerr_r1,wleread2,wlerr_r2,wleread3,wlerr_r3,pv1read,pv2read,pv3read,pv4read,pv5read,pv1read1,pv2read1,pv3read1,pv4read1,pv5read1,pv1read2,pv2read2,pv3read2,pv4read2,pv5read2,pv1read3,pv2read3,pv3read3,pv4read3,pv5read3,w_fstuwt,cntrfac,w_fstr1,w_fstr2,w_fstr3,w_fstr4,w_fstr5,w_fstr6,w_fstr7,w_fstr8,w_fstr9,w_fstr10,w_fstr11,w_fstr12,w_fstr13,w_fstr14,w_fstr15,w_fstr16,w_fstr17,w_fstr18,w_fstr19,w_fstr20,w_fstr21,w_fstr22,w_fstr23,w_fstr24,w_fstr25,w_fstr26,w_fstr27,w_fstr28,w_fstr29,w_fstr30,w_fstr31,w_fstr32,w_fstr33,w_fstr34,w_fstr35,w_fstr36,w_fstr37,w_fstr38,w_fstr39,w_fstr40,w_fstr41,w_fstr42,w_fstr43,w_fstr44,w_fstr45,w_fstr46,w_fstr47,w_fstr48,w_fstr49,w_fstr50,w_fstr51,w_fstr52,w_fstr53,w_fstr54,w_fstr55,w_fstr56,w_fstr57,w_fstr58,w_fstr59,w_fstr60,w_fstr61,w_fstr62,w_fstr63,w_fstr64,w_fstr65,w_fstr66,w_fstr67,w_fstr68,w_fstr69,w_fstr70,w_fstr71,w_fstr72,w_fstr73,w_fstr74,w_fstr75,w_fstr76,w_fstr77,w_fstr78,w_fstr79,w_fstr80,read_waf,schstd_id,wlemath,wlerr_m,pv1math,pv2math,pv3math,pv4math,pv5math,cntmfac,math_waf,pv1math1,pv2math1,pv3math1,pv4math1,pv5math1,pv1math2,pv2math2,pv3math2,pv4math2,pv5math2,wlescie,wlerr_s,pv1scie,pv2scie,pv3scie,pv4scie,pv5scie,cntsfac,scie_waf,sc01q01,sc02q01,sc02q02,sc03q01,sc04q01,sc04q02,sc04q03,sc04q04,sc05q01,sc05q02,sc05q03,sc05q04,sc05q05,sc05q06,sc05q07,sc05q08,sc05q09,sc05q10,sc05q11,sc05q12,sc05q13,sc05q14,sc06q01,sc06q02,sc06q03,sc07q01,sc07q02,sc07q03,sc07q04,sc07q05,sc07q06,sc07q07,sc08q01,sc08q02,sc08q03,sc08q04,sc08q05,sc08q06,sc09q01,sc09q02,sc09q03,sc09q04,sc09q05,sc10q01,sc10q02,sc10q03,sc10q04,sc10q05,sc10q06,sc11q01,sc11q02,sc11q03,sc11q04,sc11q05,sc11q06,sc11q07,sc11q08,sc11q09,sc12q01,sc12q02,sc12q03,sc12q04,sc12q05,sc13q01,sc13q02,sc13q03,sc13q04,sc13q05,sc13q06,sc14q01,sc14q02,sc14q03,sc14q04,sc14q05,sc14q06,sc14q07,sc14q08,sc14q09,sc14q10,sc14q11,sc14q12,sc14q13,sc14q14,sc14q15,sc14q16,sc14q17,sc14q18,sc15q01,sc16q01,sc16q02,sc16q03,sc16q04,sc16q05,sc17q01,sc17q02,sc17q03,sc18q01,sc18q02,sc18q03,sc18q04,sc18q05,sc18q06,sc19q01,sc19q02,sc19q03,sc19q04,sc19q05,sc19q06,sc19q07,sc19q08,sc19q09,sc19q10,sc19q11,sc19q12,sc19q13,sc19q14,sc19q15,sc19q16,sc19q17,sc20q01,sc20q02,sc20q03,sc20q04,sc21q01,sc21q02,sc21q03,sc21q04,sc21q05,sc22q01,sc22q02,sc22q03,sc22q04,sc22q05,sc22q06,sc22q07,sc22q08,sc22q09,sc22q10,sc22q11,sc22q12,schlsize,pcgirls,schltype,tothrs,ratcomp,percomp1,percomp2,percomp3,percomp4,percomp5,stratio,propqual,propcert,propread,propmath,propscie,scmatedu,tcshort,teacbeha,studbeha,tcmorale,schauton,tchparti,scmatbui,wnrschbw
764,THA,01063,00011,00,04,1986,9,1,1,2,1,2,2,1,2,2,3,1,1,2,2,6100,6100,2,2,2,2,1,1,1,3,2,1,2,3,3,4,2,4,1,5,5,5,4,4,4,1,1,1,2,1,2,2,2,1,1,1,2,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,4,3,4,2,3,4,2,2,2,2,2,2,4,1,5,1,4,1,27,27,27,1,1,2,3,3,3,3,3,2,3,3,2,3,2,3,2,3,2,2,2,3,2,4,2,2,2,5,2,3,3,3,2,2,3,2,1,2,2,5,2,1,3,4,1,4,4,1,1,4,6100,999,999,999,1,2,1,3,1,2,23,23,23,5,2,5,5,3,4,4,3,5,2,5,5,5,5,2,5,2,2,2,2,2,1,1,1,1,2,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,3,3,2,2,2,2,2,4,4,3,2,3,4,2,2,2,2,2,2,3,2,2,3,3,2,2,2,2,3,2,3,200,250,200,188,2,2,1,23,23,2,2,0.02,1.19,1.16,-1.84,-2,1.29,-0.61,-0.69,0.48,-0.19,0.39,-1.13,-0.57,0.28,-0.84,-1.51,0.74,0.9,-0.75,-0.64,-0.25,-0.89,-0.71,-0.69,-0.3,0.18,-0.42,0.65,-0.75,-1.1,-0.4,-0.36,498.68,30.15,476.74,52.8,481.56,39.44,625.56,87.93,533.49,485.31,518.03,501.67,500.76,409.87,490.77,474.41,523.49,507.13,452.59,506.22,519.85,520.76,526.22,525.31,542.58,558.03,535.3,598.02,127.8886,0.001902,63.9443,63.9443,191.8328,63.9443,191.8328,63.9443,63.9443,63.9443,63.9443,191.8328,191.8328,63.9443,191.8328,191.8328,63.9443,63.9443,191.8328,191.8328,191.8328,191.8328,191.8328,191.8328,63.9443,191.8328,63.9443,191.8328,191.8328,191.8328,191.8328,63.9443,63.9443,191.8328,63.9443,63.9443,191.8328,191.8328,63.9443,63.9443,63.9443,63.9443,63.9443,63.9443,191.8328,63.9443,191.8328,63.9443,63.9443,63.9443,63.9443,191.8328,191.8328,63.9443,191.8328,191.8328,63.9443,63.9443,191.8328,191.8328,191.8328,191.8328,191.8328,191.8328,63.9443,191.8328,63.9443,191.8328,191.8328,191.8328,191.8328,63.9443,63.9443,191.8328,63.9443,63.9443,191.8328,191.8328,63.9443,63.9443,63.9443,63.9443,1,0106300011,437.19,40.78,435.1,436.63,436.34,433.49,436.63,0.001901,1,412.54,408.66,410.21,410.99,412.54,422.21,425.27,423.74,422.21,425.27,508.26,43.21,510.12,491.17,469.52,520.04,515.53,0.001914,1,1,135,114,1,100,0,0,0,2,2,2,2,2,2,1,1,1,1,1,1,7,7,36,35,50,2,1,3,3,2,2,9,73,997,997,27,997,0,1,1,1,2,2,1,1,1,1,2,1,4,2,4,4,3,2,4,2,4,1,1,1,1,1,17,15,2,0,0,0,15,1,14,0,14,1,2,999,2,999,4,999,2,999,3,999,3,999,13,2,5,5,3,5,3,3,2,2,2,1,1,1,1,2,3,2,4,4,3,4,2,3,3,1,2,1,2,2,1,3,3,3,3,4,4,4,4,4,3,01000,01000,01000,01000,01000,01000,01000,01000,01000,00001,00001,01000,249,0.458,3,1050,0.068,0.88,0.12,0,0,0,16.06,0.9,0.94,1,0.5,1,1.37,3.47,0.27,0.79,0.08,1.72,-0.35,1.88,93.25
764,THA,01079,00034,00,04,1986,9,2,1,2,1,2,1,2,1,9,1,3,1,2,2,9999,9999,2,3,2,2,1,1,1,1,3,3,1,2,3,4,4,5,1,4,5,5,3,5,1,1,1,2,2,1,2,2,1,1,1,1,2,2,1,1,2,4,1,1,1,2,2,1,2,2,1,1,2,1,1,2,1,1,2,3,3,3,3,3,3,3,2,2,3,2,2,2,2,2,2,4,1,5,1,3,1,25,25,25,1,1,2,3,3,3,3,3,2,3,3,2,3,2,2,2,3,3,3,2,3,3,2,3,2,2,2,1,3,2,2,3,2,3,2,2,3,4,2,3,2,5,4,2,3,1,1,1,3,1250,999,999,999,1,1,2,3,3,1,99,99,64,5,4,4,2,1,3,3,3,5,5,5,2,3,4,4,5,2,4,4,3,3,2,1,2,2,3,2,2,2,3,3,3,2,2,3,3,3,3,4,9,2,3,2,3,3,2,3,2,3,3,2,2,3,2,2,2,3,2,3,3,2,3,2,3,2,3,2,2,4,3,2,3,3,3,4,3,4,200,250,150,188,2,2,3,99,99,3,2,0.89,0.04,0.54,-2.31,0.76,1.56,-0.61,-0.28,-0.2,-0.19,0.39,0.02,-0.57,0.43,0.3,-0.49,-0.33,-1.37,-0.46,0.37,0.69,-0.89,-0.36,0.04,0.4,-0.13,-0.42,0.33,-0.37,-0.06,0.93,-0.36,515.12,27.82,568.35,68.95,513.77,39.99,479.12,51.65,503.97,439.44,545.78,492.16,541.24,513.06,498.52,453.07,480.34,483.98,508.52,484.88,461.25,521.24,504.88,517.61,455.8,452.16,504.88,476.7,61.3616,0.001902,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,92.0424,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,30.6808,1,0107900034,408.26,38.96,389.31,425.18,441.21,438.92,429.76,0.001901,1,376.07,384.61,292.28,315.56,307.8,413.76,417.6,381.54,363.12,398.42,447.81,46.57,441.56,441.28,440.85,441.56,441.6,0.001914,1,1,770,944,1,90,5,5,0,2,2,2,2,2,2,1,1,1,1,1,1,7,7,40,35,50,3,3,2,2,2,2,9,94,997,997,6,997,0,3,2,2,2,2,2,2,2,2,2,9,2,2,3,3,3,4,4,3,4,1,1,1,1,2,20,15,2,3,10,8,72,8,67,4,72,8,8,0,7,0,8,1,5,1,13,0,13,0,38,2,5,5,3,5,3,3,3,1,1,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,3,3,3,3,2,2,3,2,2,01000,01000,10000,01000,01000,01000,01000,10000,01000,10000,01000,01000,1714,0.551,3,1167,0.012,0.75,0.1,0.15,0.5,0.4,22.55,0.91,1,0.88,0.65,1,1.82,1.15,0.51,-0.04,-0.59,0.04,-1.57,0.7,13.51
764,THA,11204,00019,00,03,1986,9,1,1,2,1,2,1,2,2,9,3,1,1,1,1,6111,6111,2,2,2,2,1,1,1,3,4,2,3,3,2,3,3,4,1,3,5,3,1,1,3,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,2,1,1,1,1,1,1,1,1,2,1,4,2,3,4,3,4,3,3,4,2,2,2,2,2,2,4,1,5,1,4,1,25,25,25,1,1,2,3,3,3,3,3,2,2,3,2,2,2,2,3,3,2,2,2,2,3,2,3,2,3,3,3,3,2,3,3,2,4,2,2,4,3,4,9,1,3,2,2,5,3,3,2,5,4100,999,999,999,1,1,1,3,2,4,23,23,45,5,4,4,4,2,2,2,4,5,4,4,4,5,5,5,5,3,5,5,5,5,2,1,1,2,2,2,2,2,2,3,2,2,3,2,3,2,2,2,3,2,3,2,3,2,3,2,2,2,3,2,2,2,2,2,2,3,1,3,3,2,2,2,2,1,3,2,1,4,3,1,2,3,3,4,3,3,200,250,200,189,2,2,1,23,23,2,2,0.33,-0.96,-0.33,-1.84,-1.33,1.29,1.16,0.11,0.48,-0.19,0.39,-0.7,-1.03,0.13,0.59,-0.49,-2.57,-0.69,-0.75,-1.05,-0.25,-0.89,-0.71,0.67,-0.64,-0.13,-1.62,0.33,-0.37,-0.06,0.19,-0.67,418.4,33.49,446.19,53.56,422.5,50.38,366.34,89.73,420.55,417.82,490.53,457.81,459.63,424.18,470.54,449.63,456.9,459.63,454.18,481.44,470.54,454.18,485.08,365.1,465.99,439.63,375.1,436,140,0.001902,210,70,70,210,70,70,210,210,70,70,70,70,210,70,210,70,210,210,210,210,70,210,210,70,210,210,70,70,210,210,210,210,70,210,70,210,70,70,70,70,70,210,210,70,210,210,70,70,210,210,210,210,70,210,70,210,70,70,70,70,210,70,70,210,70,70,210,210,70,70,70,70,210,70,210,70,210,210,210,210,1,1120400019,437.19,36.48,389.96,332.72,405.22,425.83,390.72,0.001901,1,395.47,389.26,423.4,362.88,336.5,418.37,452.13,441.39,358.52,370.03,584.23,43.02,487.22,480.01,476.4,435.8,507.97,0.001914,1,1,188,185,1,100,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,7,7,40,35,50,1,3,3,3,3,3,9,100,997,997,0,997,0,3,3,2,1,2,1,2,1,1,2,9,4,4,4,3,4,4,4,2,2,2,2,2,1,1,6,2,2,2,0,0,999,0,10,0,17,0,999,0,1,0,999,0,0,0,999,0,0,0,33,2,5,5,5,5,3,3,2,1,1,1,1,1,1,3,2,1,1,4,2,2,2,2,3,2,3,1,2,2,3,3,3,3,3,4,3,4,4,4,4,10000,10000,10000,00100,01000,01000,00001,00010,00100,00001,00001,00001,373,0.496,3,1167,0.016,0.33,0.33,0.33,0,0,99,9,9,9,9,9,1.37,2.78,0.51,-0.04,0.08,0.04,0.5,3.38,140
