"Variable","Missing_Percentage"
"CNTRYID",0
"CNT",0
"CNTSCHID",0
"CNTSTUID",0
"CYC",0
"NatCen",0
"Region",0
"STRATUM",0
"SUBNATIO",0
"OECD",0
"ADMINMODE",0
"Option_CPS",0
"Option_FL",0
"Option_ICTQ",0
"Option_ECQ",0
"Option_PQ",0
"Option_TQ",0
"Option_UH",0
"Option_Read",0
"Option_Math",0
"LANGTEST_QQQ",1.63656200751606
"LANGTEST_COG",0
"LANGTEST_PAQ",100
"CBASCI",0
"BOOKID",0
"ST001D01T",0
"ST003D02T",0
"ST003D03T",0
"ST004D01T",0
"ST005Q01TA",1.73354345981331
"ST006Q01TA",1.73354345981331
"ST006Q02TA",1.73354345981331
"ST006Q03TA",0
"ST006Q04TA",1.73354345981331
"ST007Q01TA",1.73354345981331
"ST008Q01TA",1.73354345981331
"ST008Q02TA",1.73354345981331
"ST008Q03TA",0
"ST008Q04TA",1.73354345981331
"ST011Q01TA",1.73354345981331
"ST011Q02TA",1.73354345981331
"ST011Q03TA",1.73354345981331
"ST011Q04TA",1.73354345981331
"ST011Q05TA",1.73354345981331
"ST011Q06TA",1.73354345981331
"ST011Q07TA",1.73354345981331
"ST011Q08TA",1.73354345981331
"ST011Q09TA",1.73354345981331
"ST011Q10TA",1.73354345981331
"ST011Q11TA",1.73354345981331
"ST011Q12TA",1.73354345981331
"ST011Q16NA",1.73354345981331
"ST011D17TA",2.80033943508304
"ST011D18TA",3.05491574736332
"ST011D19TA",2.66698993817432
"ST012Q01TA",1.74566614135047
"ST012Q02TA",1.74566614135047
"ST012Q03TA",1.74566614135047
"ST012Q05NA",1.74566614135047
"ST012Q06NA",1.74566614135047
"ST012Q07NA",1.74566614135047
"ST012Q08NA",1.74566614135047
"ST012Q09NA",1.74566614135047
"ST013Q01TA",1.74566614135047
"ST123Q01NA",1.74566614135047
"ST123Q02NA",1.74566614135047
"ST123Q03NA",1.74566614135047
"ST123Q04NA",1.74566614135047
"ST019AQ01T",1.74566614135047
"ST019BQ01T",1.74566614135047
"ST019CQ01T",1.74566614135047
"ST021Q01TA",1.74566614135047
"ST022Q01TA",1.74566614135047
"ST124Q01TA",0
"ST125Q01NA",1.74566614135047
"ST126Q01TA",1.74566614135047
"ST127Q01TA",1.74566614135047
"ST127Q02TA",1.74566614135047
"ST127Q03TA",1.74566614135047
"ST016Q01NA",1.75778882288762
"ST111Q01TA",1.75778882288762
"ST118Q01NA",1.76991150442478
"ST118Q02NA",1.76991150442478
"ST118Q03NA",1.76991150442478
"ST118Q04NA",1.76991150442478
"ST118Q05NA",1.76991150442478
"ST119Q01NA",1.79415686749909
"ST119Q02NA",1.79415686749909
"ST119Q03NA",1.79415686749909
"ST119Q04NA",1.79415686749909
"ST119Q05NA",1.79415686749909
"ST121Q01NA",1.78203418596193
"ST121Q02NA",1.78203418596193
"ST121Q03NA",1.78203418596193
"ST082Q01NA",1.78203418596193
"ST082Q02NA",1.78203418596193
"ST082Q03NA",1.78203418596193
"ST082Q08NA",1.78203418596193
"ST082Q09NA",1.78203418596193
"ST082Q12NA",1.78203418596193
"ST082Q13NA",1.78203418596193
"ST082Q14NA",1.78203418596193
"ST034Q01TA",1.78203418596193
"ST034Q02TA",1.78203418596193
"ST034Q03TA",1.78203418596193
"ST034Q04TA",1.78203418596193
"ST034Q05TA",1.78203418596193
"ST034Q06TA",1.78203418596193
"ST039Q01NA",1.78203418596193
"ST039Q02NA",1.78203418596193
"ST039Q03NA",1.78203418596193
"ST039Q04NA",1.78203418596193
"ST039Q05NA",1.78203418596193
"ST039Q06NA",1.78203418596193
"ST038Q01NA",0
"ST038Q02NA",0
"ST038Q03NA",1.79415686749909
"ST038Q04NA",1.79415686749909
"ST038Q05NA",1.79415686749909
"ST038Q06NA",1.79415686749909
"ST038Q07NA",1.79415686749909
"ST038Q08NA",1.79415686749909
"ST059Q01TA",3.32161474118075
"ST059Q02TA",3.3337374227179
"ST059Q03TA",3.49133228270093
"ST060Q01NA",1.80627954903625
"ST061Q01NA",1.84264759364771
"ST062Q01TA",1.80627954903625
"ST062Q02TA",1.80627954903625
