cnt,country,oecd,subnatio,schoolid,st_id_std,st01q01,st02q01,st03q02,st03q03,st04q01,st05q01,st06q01,st07q01,st07q02,st07q03,st08q01,st08q02,st08q03,st08q04,st08q05,st08q06,st09q01,st10q01,st11q01,st11q02,st11q03,st11q04,st12q01,st13q01,st14q01,st15q01,st15q02,st15q03,st15q04,st16q01,st17q01,st17q02,st17q03,st18q01,st19q01,st20q01,st20q02,st20q03,st20q04,st20q05,st20q06,st20q07,st20q08,st20q09,st20q10,st20q11,st20q12,st20q13,st20q14,st20q15,st20q16,st20q17,st21q01,st21q02,st21q03,st21q04,st21q05,st22q01,st23q01,st24q01,st24q02,st24q03,st24q04,st24q05,st24q06,st24q07,st24q08,st24q09,st24q10,st24q11,st25q01,st25q02,st25q03,st25q04,st25q05,st26q01,st26q02,st26q03,st26q04,st26q05,st26q06,st26q07,st27q01,st27q02,st27q03,st27q04,st27q05,st27q06,st27q07,st27q08,st27q09,st27q10,st27q11,st27q12,st27q13,st28q01,st28q02,st28q03,st29q01,st29q02,st29q03,st30q01,st31q01,st31q02,st31q03,st31q04,st31q05,st31q06,st31q07,st31q08,st31q09,st32q01,st32q02,st32q03,st32q04,st33q01,st33q02,st33q03,st33q04,st34q01,st34q02,st34q03,st34q04,st34q05,st35q01,st36q01,st36q02,st36q03,st36q04,st36q05,st37q01,st37q02,st37q03,st37q04,st37q05,st37q06,st37q07,st38q01,st38q02,st38q03,st38q04,st38q05,st38q06,st38q07,st38q08,st38q09,st39q01,st39q02,st39q03,st39q04,st39q05,st39q06,st39q07,st40q01,st41q01,st41q02,st41q03,st41q04,st41q05,st41q06,st42q01,st42q02,st42q03,st42q04,st42q05,ic01q01,ic01q02,ic01q03,ic01q04,ic01q05,ic01q06,ic01q07,ic01q08,ic02q01,ic02q02,ic02q03,ic02q04,ic02q05,ic03q01,ic04q01,ic04q02,ic04q03,ic04q04,ic04q05,ic04q06,ic04q07,ic04q08,ic04q09,ic05q01,ic05q02,ic05q03,ic05q04,ic05q05,ic06q01,ic06q02,ic06q03,ic06q04,ic06q05,ic06q06,ic06q07,ic06q08,ic06q09,ic07q01,ic07q02,ic07q03,ic07q04,ic08q01,ic08q02,ic08q03,ic08q04,ic08q05,ic09q01,ic10q01,ic10q02,ic10q03,ic10q04,ec01q01,ec02q01,ec03q01,ec04q01,ec05q01a,ec05q01b,ec05q01c,ec05q01d,ec05q01e,ec05q01f,ec06q01,ec06q02,ec06q03,ec07q01,rfs1q01,rfs1q02,rfs1q03,rfs1q04,rfs1q05,rfs1q06,rfs1q07,rfs1q08,rfs2q01,rfs2q02,rfs2q03,rfs2q04,rfs2q05,rfs2q06,rfs2q07,rfs2q08,rfs2q09,bookid,age,bfmj,bmmj,cobn_f,cobn_m,cobn_s,grade,famstruc,fisced,misced,hisced,fsecateg,msecateg,hsecateg,hisei,immig,iscedd,iscedl,iscedo,langn,lmins,mmins,smins,metasum,undrem,pared,progn,attcomp,atschl,cstrat,cultposs,disclima,divread,elab,entuse,escs,hedres,highconf,homepos,homsch,icthome,ictres,ictsch,joyread,libuse,memor,onlnread,stimread,strstrat,studrel,usesch,wealth,rfsintrp,rfsncont,rfstrlit,rfsfumat,pv1math,pv2math,pv3math,pv4math,pv5math,pv1read,pv2read,pv3read,pv4read,pv5read,pv1scie,pv2scie,pv3scie,pv4scie,pv5scie,pv1read1,pv2read1,pv3read1,pv4read1,pv5read1,pv1read2,pv2read2,pv3read2,pv4read2,pv5read2,pv1read3,pv2read3,pv3read3,pv4read3,pv5read3,pv1read4,pv2read4,pv3read4,pv4read4,pv5read4,pv1read5,pv2read5,pv3read5,pv4read5,pv5read5,w_fstuwt,w_fstr1,w_fstr2,w_fstr3,w_fstr4,w_fstr5,w_fstr6,w_fstr7,w_fstr8,w_fstr9,w_fstr10,w_fstr11,w_fstr12,w_fstr13,w_fstr14,w_fstr15,w_fstr16,w_fstr17,w_fstr18,w_fstr19,w_fstr20,w_fstr21,w_fstr22,w_fstr23,w_fstr24,w_fstr25,w_fstr26,w_fstr27,w_fstr28,w_fstr29,w_fstr30,w_fstr31,w_fstr32,w_fstr33,w_fstr34,w_fstr35,w_fstr36,w_fstr37,w_fstr38,w_fstr39,w_fstr40,w_fstr41,w_fstr42,w_fstr43,w_fstr44,w_fstr45,w_fstr46,w_fstr47,w_fstr48,w_fstr49,w_fstr50,w_fstr51,w_fstr52,w_fstr53,w_fstr54,w_fstr55,w_fstr56,w_fstr57,w_fstr58,w_fstr59,w_fstr60,w_fstr61,w_fstr62,w_fstr63,w_fstr64,w_fstr65,w_fstr66,w_fstr67,w_fstr68,w_fstr69,w_fstr70,w_fstr71,w_fstr72,w_fstr73,w_fstr74,w_fstr75,w_fstr76,w_fstr77,w_fstr78,w_fstr79,w_fstr80,testlang,cntfac,stratum,wvarstrr,randunit,ver_stu,sc01q01,sc01q02,sc01q03,sc01q04,sc01q05,sc01q06,sc01q07,sc01q08,sc01q09,sc01q10,sc01q11,sc01q12,sc01q13,sc01q14,sc02q01,sc03q01,sc03q02,sc03q03,sc03q04,sc04q01,sc05q01,sc06q01,sc06q02,sc07q01,sc07q02,sc08q01,sc09q11,sc09q12,sc09q21,sc09q22,sc09q31,sc09q32,sc10q01,sc10q02,sc10q03,sc11q01,sc11q02,sc11q03,sc11q04,sc11q05,sc11q06,sc11q07,sc11q08,sc11q09,sc11q10,sc11q11,sc11q12,sc11q13,sc12q01,sc12q02,sc13q01,sc13q02,sc13q03,sc13q04,sc13q05,sc13q06,sc13q07,sc13q08,sc13q09,sc13q10,sc13q11,sc13q12,sc13q13,sc13q14,sc14q01,sc14q02,sc14q03,sc14q04,sc14q05,sc15q01,sc15q02,sc15q03,sc15q04,sc15q05,sc16q01,sc16q02,sc16q03,sc16q04,sc16q05,sc16q06,sc16q07,sc16q08,sc17q01,sc17q02,sc17q03,sc17q04,sc17q05,sc17q06,sc17q07,sc17q08,sc17q09,sc17q10,sc17q11,sc17q12,sc17q13,sc18q01,sc19q01,sc19q02,sc19q03,sc19q04,sc19q05,sc19q06,sc19q07,sc20q01,sc20q02,sc20q03,sc20q04,sc20q05,sc20q06,sc21q01,sc21q02,sc21q03,sc22q01,sc22q02,sc22q03,sc22q04,sc22q05,sc23q01,sc23q02,sc23q03,sc23q04,sc24qa1,sc24qa2,sc24qa3,sc24qa4,sc24qa5,sc24qb1,sc24qb2,sc24qb3,sc24qb4,sc24qb5,sc24qc1,sc24qc2,sc24qc3,sc24qc4,sc24qc5,sc24qd1,sc24qd2,sc24qd3,sc24qd4,sc24qd5,sc24qe1,sc24qe2,sc24qe3,sc24qe4,sc24qe5,sc24qf1,sc24qf2,sc24qf3,sc24qf4,sc24qf5,sc24qg1,sc24qg2,sc24qg3,sc24qg4,sc24qg5,sc24qh1,sc24qh2,sc24qh3,sc24qh4,sc24qh5,sc24qi1,sc24qi2,sc24qi3,sc24qi4,sc24qi5,sc24qj1,sc24qj2,sc24qj3,sc24qj4,sc24qj5,sc24qk1,sc24qk2,sc24qk3,sc24qk4,sc24qk5,sc24ql1,sc24ql2,sc24ql3,sc24ql4,sc24ql5,sc25qa1,sc25qa2,sc25qa3,sc25qa4,sc25qb1,sc25qb2,sc25qb3,sc25qb4,sc25qc1,sc25qc2,sc25qc3,sc25qc4,sc25qd1,sc25qd2,sc25qd3,sc25qd4,sc25qe1,sc25qe2,sc25qe3,sc25qe4,sc25qf1,sc25qf2,sc25qf3,sc25qf4,sc26q01,sc26q02,sc26q03,sc26q04,sc26q05,sc26q06,sc26q07,sc26q08,sc26q09,sc26q10,sc26q11,sc26q12,sc26q13,sc26q14,sc27q01,abgroup,compweb,iratcomp,pcgirls,propcert,propqual,schsize,schtype,selsch,stratio,excuract,ldrshp,respcurr,respres,scmatedu,studbeha,tchparti,tcshort,teacbeha,w_fschwt,ver_sch
THA,764,0,76400,00127,03337,9,1,04,1994,2,3,7,1,1,9,1,1,2,2,2,2,9999,4,2,2,7,2,2,9120,4,2,2,7,2,2,1,1,1,9999,2,1,2,1,2,2,2,1,1,1,1,2,1,1,1,764002,764002,764002,1,2,1,1,2,3,2,2,3,2,2,3,1,3,2,1,3,3,5,5,5,5,5,2,2,3,3,3,2,3,3,3,3,3,2,3,2,3,3,3,3,3,3,60,60,60,4,4,5,30,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,3,4,3,3,3,3,3,22,2,2,1,1,1,2,3,3,2,3,3,3,3,3,3,3,4,4,4,3,3,4,4,4,4,5,5,4,2,4,4,3,4,5,3,4,4,5,4,4,3,3,3,3,3,2,3,3,2,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,3,1,3,1,1,1,1,2,2,2,2,2,1,2,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,9997,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,10,15.33,28,99,076400,076400,076400,-1,2,1,1,1,4,9,4,28,1,1,2,1,855,240,240,300,-1.5905,-0.4168,6,7640001,-0.2636,0.5091,0.2159,1.4555,0.9272,4.6457,0.8778,-3.098,-2.4124,-0.8374,-0.5313,-2.0391,-1.9204,-3.3962,-2.2924,-1.4862,0.6743,1.7063,0.1036,-0.9506,0.3707,0.9383,0.1656,0.6785,-2.5988,0.4161,0.702,1.2013,1.1423,353.1,378.03,426.32,382.7,394.38,326.09,349.34,421.49,348.54,348.54,351.03,396.72,466.65,399.52,378.07,392.63,403.05,361.36,372.59,339.72,385.41,367.78,379.8,366.17,351.74,389.42,403.85,344.53,350.14,321.28,389.42,373.39,399.04,388.62,358.96,370.98,354.15,330.9,363.77,341.32,140.31,68.5044,73.0247,68.5044,204.8506,203.5691,68.0005,217.3487,213.9498,68.0005,73.0247,217.3487,203.5691,203.5691,213.9498,71.7021,217.3487,71.7021,204.8506,71.7021,68.5044,68.5044,73.0247,68.5044,204.8506,203.5691,68.0005,217.3487,213.9498,68.0005,73.0247,217.3487,203.5691,203.5691,213.9498,71.7021,217.3487,71.7021,204.8506,71.7021,68.5044,213.9498,203.5691,213.9498,71.7021,73.0247,217.3487,68.0005,68.5044,217.3487,203.5691,68.0005,73.0247,73.0247,68.5044,204.8506,68.0005,204.8506,71.7021,204.8506,213.9498,213.9498,203.5691,213.9498,71.7021,73.0247,217.3487,68.0005,68.5044,217.3487,203.5691,68.0005,73.0247,73.0247,68.5044,204.8506,68.0005,204.8506,71.7021,204.8506,213.9498,THA,0.0014,76403,28,2,P2009_16DEC11,1,1,1,1,1,1,1,1,1,1,1,2,7,7,1,90,0,3,7,1,1,322,213,0,0,3,20,1,20,0,20,0,41,40,40,1,4,3,3,1,4,4,3,2,1,3,3,3,3,3,2,1,1,1,1,2,1,1,1,1,1,1,9,1,1,2,2,1,2,2,4,5,5,5,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1,1,2,2,1,1,3,3,3,3,3,3,9,1,1,1,1,2,9,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,2,1,2,2,2,1,1,1,2,2,1,2,1,2,1,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,4,4,3,4,3,3,3,3,3,3,3,4,4,3,2,1,1,0.976,39.8131,0.976,0.976,535,1,3,26.098,1.2832,0.7059,1.3635,0.293,-0.8562,0.3454,1.9642,1.3328,0.7127,94.2483,P2009_16DEC11
THA,764,0,76400,00200,05323,9,1,01,1994,1,3,7,1,1,9,1,1,2,2,1,2,6111,4,2,2,7,2,1,6111,4,2,2,7,2,1,1,1,1,9999,2,1,1,2,2,2,2,1,1,1,1,1,1,2,1,764002,764001,764002,3,2,1,1,1,3,4,2,3,2,2,3,2,3,2,2,3,3,5,5,5,4,5,3,3,3,3,3,3,2,3,2,3,3,3,2,3,2,2,3,2,3,2,60,60,60,4,3,3,30,2,2,2,2,2,2,2,2,1,1,1,1,1,3,2,3,4,3,3,3,3,3,23,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,4,4,4,3,3,4,4,2,4,5,5,5,5,5,4,4,5,4,5,3,3,3,3,1,3,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,3,3,3,1,1,1,1,2,2,2,2,2,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,9997,2,2,3,2,2,2,3,2,2,3,3,3,3,3,2,2,2,9,15.58,23,23,076400,076400,076400,-1,2,1,1,1,3,3,3,23,1,1,2,1,616,240,180,180,-0.752,-0.7832,6,7640001,0.8285,-0.4352,-1.0786,1.4555,0.0258,2.9492,0.6034,-3.098,-2.4173,-0.8374,-0.5313,-1.716,-1.9204,-2.913,-2.2924,1.1741,0.417,1.2232,0.6832,-0.6061,0.5711,-0.953,0.1656,0.6785,-2.0552,-0.5012,-0.0214,0.559,0.8013,435.28,429.83,444.63,432.16,433.72,426.57,438.49,432.93,431.34,418.63,435.98,463.95,475.14,452.76,446.23,435.31,439.28,455.97,418.63,437.7,415.45,439.28,431.34,374.94,414.66,437.7,479.8,488.54,430.55,470.27,476.62,424.19,476.62,461.53,462.32,490.92,439.28,487.74,515.55,477.42,198.2165,297.3248,99.1083,297.3248,99.1083,99.1083,297.3248,297.3248,99.1083,99.1083,99.1083,99.1083,297.3248,99.1083,297.3248,99.1083,297.3248,297.3248,297.3248,297.3248,99.1083,297.3248,99.1083,297.3248,99.1083,99.1083,297.3248,297.3248,99.1083,99.1083,99.1083,99.1083,297.3248,99.1083,297.3248,99.1083,297.3248,297.3248,297.3248,297.3248,99.1083,297.3248,99.1083,297.3248,99.1083,99.1083,297.3248,297.3248,99.1083,99.1083,99.1083,99.1083,297.3248,99.1083,297.3248,99.1083,297.3248,297.3248,297.3248,297.3248,99.1083,297.3248,99.1083,297.3248,99.1083,99.1083,297.3248,297.3248,99.1083,99.1083,99.1083,99.1083,297.3248,99.1083,297.3248,99.1083,297.3248,297.3248,297.3248,297.3248,99.1083,THA,0.0014,76401,44,1,P2009_16DEC11,1,1,1,1,1,1,1,1,1,2,2,2,7,7,1,80,0,20,0,2,1,187,184,0,996,6,22,0,22,0,22,0,47,20,15,3,3,4,3,4,4,4,3,4,3,4,4,4,3,3,1,1,1,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,1,0.75,0.426,49.5957,1,1,371,1,1,16.864,0.4233,2.7788,1.3635,-0.3302,-2.2665,2.3589,3.3024,1.9046,1.4029,198.2165,P2009_16DEC11
THA,764,0,76400,00221,05920,9,1,10,1993,1,3,7,1,1,9,1,1,1,1,1,2,6111,4,2,2,7,2,2,6111,4,2,2,7,2,2,1,1,1,9999,2,2,2,2,2,2,2,1,1,1,1,2,1,2,1,764002,764002,764002,2,2,1,1,1,1,4,2,3,3,2,3,2,3,2,2,3,3,4,4,4,4,4,3,1,1,1,3,3,3,2,3,3,3,2,2,3,3,2,3,2,3,3,60,60,60,4,3,3,30,2,2,2,2,2,2,2,2,2,9,9,9,9,1,2,3,4,3,3,3,3,3,20,1,1,1,1,1,2,3,3,1,2,3,3,2,2,2,2,2,4,4,4,2,3,4,4,4,4,4,1,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,2,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,4,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,9997,1,1,1,2,3,3,1,3,1,3,2,2,3,1,2,3,2,9,15.83,23,23,076400,076400,076400,-1,2,1,1,1,3,3,3,23,1,1,2,1,855,240,180,180,-2.0098,-1.8824,6,7640001,-2.8938,0.5091,-0.5485,1.4555,1.8379,1.2062,0.8778,-3.098,-2.8387,-1.8076,-0.5313,-2.7868,-1.9204,-2.913,-2.2924,-1.4862,0.5421,1.0494,0.1036,-1.5762,-0.0322,-0.0403,0.1656,0.5626,-2.9536,-0.2918,1.0436,1.8274,-0.0509,337.91,334.8,321.55,307.53,355.83,292.32,359.05,304.24,295.5,327.27,275.59,312.89,340.86,311.02,366.97,361.43,370.17,334.42,361.43,394.8,322.51,340.78,307.41,336.81,353.49,309,370.97,311.39,319.33,400.36,311.39,319.33,391.62,335.22,344.75,288.35,336.01,384.47,316.95,323.3,198.2165,297.3248,297.3248,297.3248,99.1083,99.1083,297.3248,99.1083,99.1083,297.3248,297.3248,99.1083,99.1083,99.1083,99.1083,297.3248,99.1083,297.3248,99.1083,297.3248,297.3248,297.3248,297.3248,297.3248,99.1083,99.1083,297.3248,99.1083,99.1083,297.3248,297.3248,99.1083,99.1083,99.1083,99.1083,297.3248,99.1083,297.3248,99.1083,297.3248,297.3248,297.3248,297.3248,297.3248,99.1083,99.1083,297.3248,99.1083,99.1083,297.3248,297.3248,99.1083,99.1083,99.1083,99.1083,297.3248,99.1083,297.3248,99.1083,297.3248,297.3248,297.3248,297.3248,297.3248,99.1083,99.1083,297.3248,99.1083,99.1083,297.3248,297.3248,99.1083,99.1083,99.1083,99.1083,297.3248,99.1083,297.3248,99.1083,297.3248,297.3248,THA,0.0014,76401,52,1,P2009_16DEC11,1,1,1,1,1,1,1,1,1,2,2,2,7,7,1,98,0,2,0,1,1,563,610,0,996,1,31,10,31,6,31,6,47,26,26,3,3,3,2,4,4,4,3,4,1,4,4,4,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,3,3,2,5,1,1,1,1,1,1,1,1,2,3,2,2,2,2,2,2,2,2,3,2,1,1,2,2,3,3,2,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,3,3,4,4,3,3,3,4,3,4,3,3,3,3,2,2,1,0.553,52.0034,0.944,0.944,1173,1,3,32.583,0.1527,0.5445,-0.059,2.4502,-1.7503,-0.2336,4.0864,1.3328,-0.265,198.2165,P2009_16DEC11
