"Variable","Missing_Percentage"
"SUBNATIO",0
"SCHOOLID",0
"STIDSTD",0
"CNT",0
"COUNTRY",0
"OECD",0
"ST01Q01",0
"ST02Q01",0
"ST03Q02",0
"ST03Q03",0
"ST04Q01",0
"ST05Q01",0
"ST06Q01",0
"ST07Q01",0
"ST07Q02",0
"ST07Q03",0
"ST08Q01",0
"ST09Q01",0
"ST10Q01",0
"ST10Q02",0
"ST10Q03",0
"ST11Q01",0
"ST11Q02",0
"ST11Q03",0
"ST11Q04",0
"ST12Q01",0
"ST13Q01",0
"ST13Q02",0
"ST13Q03",0
"ST13Q04",0
"ST13Q05",0
"ST13Q06",0
"ST13Q07",0
"ST13Q08",0
"ST13Q09",0
"ST13Q10",0
"ST13Q11",0
"ST13Q12",0
"ST13Q13",0
"ST13Q14",0
"ST13Q15",0
"ST13Q16",0
"ST13Q17",0
"ST14Q01",0
"ST14Q02",0
"ST14Q03",0
"ST14Q04",0
"ST15Q01",0
"ST16Q01",0
"ST16Q02",0
"ST16Q03",0
"ST16Q04",0
"ST16Q05",0
"ST17Q01",0
"ST17Q02",0
"ST17Q03",0
"ST17Q04",0
"ST17Q05",0
"ST17Q06",0
"ST17Q07",0
"ST17Q08",0
"ST18Q01",0
"ST18Q02",0
"ST18Q03",0
"ST18Q04",0
"ST18Q05",0
"ST18Q06",0
"ST18Q07",0
"ST18Q08",0
"ST18Q09",0
"ST18Q10",0
"ST19Q01",0
"ST19Q02",0
"ST19Q03",0
"ST19Q04",0
"ST19Q05",0
"ST19Q06",0
"ST20QA1",0
"ST20QA2",0
"ST20QA3",0
"ST20QA4",0
"ST20QA5",0
"ST20QA6",0
"ST20QB1",0
"ST20QB2",0
"ST20QB3",0
"ST20QB4",0
"ST20QB5",0
"ST20QB6",0
"ST20QC1",0
"ST20QC2",0
"ST20QC3",0
"ST20QC4",0
"ST20QC5",0
"ST20QC6",0
"ST20QD1",0
"ST20QD2",0
"ST20QD3",0
"ST20QD4",0
"ST20QD5",0
"ST20QD6",0
"ST20QE1",0
"ST20QE2",0
"ST20QE3",0
"ST20QE4",0
"ST20QE5",0
"ST20QE6",0
"ST20QF1",0
"ST20QF2",0
"ST20QF3",0
"ST20QF4",0
"ST20QF5",0
"ST20QF6",0
"ST20QG1",0
"ST20QG2",0
"ST20QG3",0
"ST20QG4",0
"ST20QG5",0
"ST20QG6",0
"ST20QH1",0
"ST20QH2",0
"ST20QH3",0
"ST20QH4",0
"ST20QH5",0
"ST20QH6",0
"ST21Q01",0
"ST21Q02",0
"ST21Q03",0
"ST21Q04",0
"ST21Q05",0
"ST21Q06",0
"ST21Q07",0
"ST21Q08",0
"ST22Q01",0
"ST22Q02",0
"ST22Q03",0
"ST22Q04",0
"ST22Q05",0
"ST23QA1",0
"ST23QA2",0
"ST23QA3",0
"ST23QA4",0
"ST23QA5",0
"ST23QA6",0
"ST23QB1",0
"ST23QB2",0
"ST23QB3",0
"ST23QB4",0
"ST23QB5",0
"ST23QB6",0
"ST23QC1",0
"ST23QC2",0
"ST23QC3",0
"ST23QC4",0
"ST23QC5",0
"ST23QC6",0
"ST23QD1",0
"ST23QD2",0
"ST23QD3",0
"ST23QD4",0
"ST23QD5",0
"ST23QD6",0
"ST23QE1",0
"ST23QE2",0
"ST23QE3",0
"ST23QE4",0
