Original Variable,Renamed Variable,Description
ST305Q01JA,leadership_comfortable,Agree/disagree: I am comfortable with taking the lead role in a group.
ST305Q02JA,convince_others,Agree/disagree: I know how to convince others to do what I want.
IC170Q01JA,use_computer_school,How often use at school: Desktop or laptop computer.
